Country,Year,Week,Start,End
Netherlands,2018,23,2018-06-11,2018-06-17
Netherlands,2018,24,2018-06-18,2018-06-24
Netherlands,2018,25,2018-06-25,2018-07-01
Netherlands,2018,26,2018-07-02,2018-07-08
Netherlands,2018,27,2018-07-09,2018-07-15
Netherlands,2018,28,2018-07-16,2018-07-22
Netherlands,2018,29,2018-07-23,2018-07-29
Netherlands,2018,30,2018-07-30,2018-08-05
Netherlands,2018,31,2018-08-06,2018-08-12
Netherlands,2018,32,2018-08-13,2018-08-19
Netherlands,2018,33,2018-08-20,2018-08-26
Netherlands,2018,34,2018-08-27,2018-09-02
Netherlands,2018,35,2018-09-03,2018-09-09
Netherlands,2018,36,2018-09-10,2018-09-16
Netherlands,2018,37,2018-09-17,2018-09-23
Netherlands,2018,38,2018-09-24,2018-09-30
Netherlands,2018,39,2018-10-01,2018-10-07
Netherlands,2018,40,2018-10-08,2018-10-14
Netherlands,2018,41,2018-10-15,2018-10-21
Netherlands,2018,42,2018-10-22,2018-10-28
Netherlands,2018,43,2018-10-29,2018-11-04
Netherlands,2018,44,2018-11-05,2018-11-11
Netherlands,2018,45,2018-11-12,2018-11-18
Netherlands,2018,46,2018-11-19,2018-11-25
Netherlands,2018,47,2018-11-26,2018-12-02
Netherlands,2018,48,2018-12-03,2018-12-09
Netherlands,2018,49,2018-12-10,2018-12-16
Netherlands,2018,50,2018-12-17,2018-12-23
Netherlands,2018,51,2018-12-24,2018-12-30
Netherlands,2018,52,2018-12-31,2018-12-31
Netherlands,2019,0,2019-01-01,2019-01-06
Netherlands,2019,1,2019-01-07,2019-01-13
Netherlands,2019,2,2019-01-14,2019-01-20
Netherlands,2019,3,2019-01-21,2019-01-27
Netherlands,2019,4,2019-01-28,2019-02-03
Netherlands,2019,5,2019-02-04,2019-02-10
Netherlands,2019,6,2019-02-11,2019-02-17
Netherlands,2019,7,2019-02-18,2019-02-24
Netherlands,2019,8,2019-02-25,2019-03-03
Netherlands,2019,9,2019-03-04,2019-03-10
Netherlands,2019,10,2019-03-11,2019-03-17
Netherlands,2019,11,2019-03-18,2019-03-24
Netherlands,2019,12,2019-03-25,2019-03-31
Netherlands,2019,13,2019-04-01,2019-04-07
Netherlands,2019,14,2019-04-08,2019-04-14
Netherlands,2019,15,2019-04-15,2019-04-21
Netherlands,2019,16,2019-04-22,2019-04-28
Netherlands,2019,17,2019-04-29,2019-05-05
Netherlands,2019,18,2019-05-06,2019-05-12
Netherlands,2019,19,2019-05-13,2019-05-19
Netherlands,2019,20,2019-05-20,2019-05-26
Netherlands,2019,21,2019-05-27,2019-06-02
Netherlands,2019,22,2019-06-03,2019-06-09
Netherlands,2019,23,2019-06-10,2019-06-16
Netherlands,2019,24,2019-06-17,2019-06-23
Netherlands,2019,25,2019-06-24,2019-06-30
Netherlands,2019,26,2019-07-01,2019-07-07
Netherlands,2019,27,2019-07-08,2019-07-14
Netherlands,2019,28,2019-07-15,2019-07-21
Netherlands,2019,29,2019-07-22,2019-07-28
Netherlands,2019,30,2019-07-29,2019-08-04
Netherlands,2019,31,2019-08-05,2019-08-11
Netherlands,2019,32,2019-08-12,2019-08-18
Netherlands,2019,33,2019-08-19,2019-08-25
Netherlands,2019,34,2019-08-26,2019-09-01
Netherlands,2019,35,2019-09-02,2019-09-08
Netherlands,2019,36,2019-09-09,2019-09-15
Netherlands,2019,37,2019-09-16,2019-09-22
Netherlands,2019,38,2019-09-23,2019-09-29
Netherlands,2019,39,2019-09-30,2019-10-06
Netherlands,2019,40,2019-10-07,2019-10-13
Netherlands,2019,41,2019-10-14,2019-10-20
Netherlands,2019,42,2019-10-21,2019-10-27
Netherlands,2019,43,2019-10-28,2019-11-03
Netherlands,2019,44,2019-11-04,2019-11-10
Netherlands,2019,45,2019-11-11,2019-11-17
Netherlands,2019,46,2019-11-18,2019-11-24
Netherlands,2019,47,2019-11-25,2019-12-01
Netherlands,2019,48,2019-12-02,2019-12-08
Netherlands,2019,49,2019-12-09,2019-12-15
Netherlands,2019,50,2019-12-16,2019-12-22
Netherlands,2019,51,2019-12-23,2019-12-29
Netherlands,2019,52,2019-12-30,2019-12-31
Netherlands,2020,0,2020-01-01,2020-01-05
Netherlands,2020,1,2020-01-06,2020-01-12
Netherlands,2020,2,2020-01-13,2020-01-19
Netherlands,2020,3,2020-01-20,2020-01-26
Netherlands,2020,4,2020-01-27,2020-02-02
Netherlands,2020,5,2020-02-03,2020-02-09
Netherlands,2020,6,2020-02-10,2020-02-16
Netherlands,2020,7,2020-02-17,2020-02-23
Netherlands,2020,8,2020-02-24,2020-03-01
Netherlands,2020,9,2020-03-02,2020-03-08
Netherlands,2020,10,2020-03-09,2020-03-15
Netherlands,2020,11,2020-03-16,2020-03-22
Netherlands,2020,12,2020-03-23,2020-03-29
Netherlands,2020,13,2020-03-30,2020-04-05
