Week,Year,Age,Sex,Deaths
38,2018,80+,Male,620
39,2018,80+,Male,637
40,2018,80+,Male,648
41,2018,80+,Male,623
42,2018,80+,Male,574
43,2018,80+,Male,603
44,2018,80+,Male,649
45,2018,80+,Male,607
46,2018,80+,Male,650
47,2018,80+,Male,642
48,2018,80+,Male,695
49,2018,80+,Male,670
50,2018,80+,Male,721
51,2018,80+,Male,659
52,2018,80+,Male,86
0,2019,80+,Male,665
1,2019,80+,Male,815
2,2019,80+,Male,765
3,2019,80+,Male,822
4,2019,80+,Male,742
5,2019,80+,Male,810
6,2019,80+,Male,813
7,2019,80+,Male,750
8,2019,80+,Male,743
9,2019,80+,Male,759
10,2019,80+,Male,792
11,2019,80+,Male,727
12,2019,80+,Male,736
13,2019,80+,Male,690
14,2019,80+,Male,702
15,2019,80+,Male,715
16,2019,80+,Male,729
17,2019,80+,Male,664
18,2019,80+,Male,663
19,2019,80+,Male,676
20,2019,80+,Male,677
21,2019,80+,Male,610
22,2019,80+,Male,657
23,2019,80+,Male,623
24,2019,80+,Male,626
25,2019,80+,Male,652
26,2019,80+,Male,636
27,2019,80+,Male,616
28,2019,80+,Male,544
29,2019,80+,Male,700
30,2019,80+,Male,618
31,2019,80+,Male,618
32,2019,80+,Male,586
33,2019,80+,Male,616
34,2019,80+,Male,608
35,2019,80+,Male,565
36,2019,80+,Male,598
37,2019,80+,Male,590
38,2019,80+,Male,655
39,2019,80+,Male,646
40,2019,80+,Male,649
41,2019,80+,Male,662
42,2019,80+,Male,651
43,2019,80+,Male,696
44,2019,80+,Male,746
45,2019,80+,Male,730
46,2019,80+,Male,684
47,2019,80+,Male,710
48,2019,80+,Male,728
49,2019,80+,Male,714
50,2019,80+,Male,783
51,2019,80+,Male,687
52,2019,80+,Male,196
0,2020,80+,Male,561
1,2020,80+,Male,877
2,2020,80+,Male,761
3,2020,80+,Male,717
4,2020,80+,Male,760
5,2020,80+,Male,779
6,2020,80+,Male,758
7,2020,80+,Male,757
8,2020,80+,Male,748
9,2020,80+,Male,784
10,2020,80+,Male,800
11,2020,80+,Male,924
12,2020,80+,Male,1213
13,2020,80+,Male,1445
0,2017,Total,Female,248
1,2017,Total,Female,1892
2,2017,Total,Female,1896
3,2017,Total,Female,1848
4,2017,Total,Female,1947
5,2017,Total,Female,1877
6,2017,Total,Female,1813
7,2017,Total,Female,1790
8,2017,Total,Female,1770
9,2017,Total,Female,1641
10,2017,Total,Female,1573
11,2017,Total,Female,1493
12,2017,Total,Female,1451
13,2017,Total,Female,1445
14,2017,Total,Female,1456
15,2017,Total,Female,1429
16,2017,Total,Female,1387
17,2017,Total,Female,1458
18,2017,Total,Female,1410
19,2017,Total,Female,1482
20,2017,Total,Female,1453
21,2017,Total,Female,1411
22,2017,Total,Female,1405
23,2017,Total,Female,1395
24,2017,Total,Female,1363
25,2017,Total,Female,1359
26,2017,Total,Female,1341
27,2017,Total,Female,1410
28,2017,Total,Female,1273
29,2017,Total,Female,1356
30,2017,Total,Female,1324
31,2017,Total,Female,1266
32,2017,Total,Female,1382
33,2017,Total,Female,1278
34,2017,Total,Female,1298
35,2017,Total,Female,1288
36,2017,Total,Female,1293
37,2017,Total,Female,1367
38,2017,Total,Female,1361
39,2017,Total,Female,1359
40,2017,Total,Female,1311
41,2017,Total,Female,1389
42,2017,Total,Female,1407
43,2017,Total,Female,1390
44,2017,Total,Female,1399
45,2017,Total,Female,1444
46,2017,Total,Female,1540
47,2017,Total,Female,1473
48,2017,Total,Female,1422
49,2017,Total,Female,1540
50,2017,Total,Female,1646
51,2017,Total,Female,1637
52,2017,Total,Female,1667
0,2018,Total,Female,1786
1,2018,Total,Female,1767
2,2018,Total,Female,1744
3,2018,Total,Female,1672
4,2018,Total,Female,1844
5,2018,Total,Female,1873
6,2018,Total,Female,1880
7,2018,Total,Female,1941
8,2018,Total,Female,2069
9,2018,Total,Female,2188
10,2018,Total,Female,1974
11,2018,Total,Female,1739
12,2018,Total,Female,1665
13,2018,Total,Female,1595
14,2018,Total,Female,1515
15,2018,Total,Female,1447
16,2018,Total,Female,1384
17,2018,Total,Female,1331
18,2018,Total,Female,1299
19,2018,Total,Female,1329
20,2018,Total,Female,1372
21,2018,Total,Female,1426
22,2018,Total,Female,1366
23,2018,Total,Female,1309
24,2018,Total,Female,1300
25,2018,Total,Female,1308
26,2018,Total,Female,1400
27,2018,Total,Female,1392
28,2018,Total,Female,1393
29,2018,Total,Female,1423
30,2018,Total,Female,1425
31,2018,Total,Female,1406
32,2018,Total,Female,1325
33,2018,Total,Female,1291
34,2018,Total,Female,1252
35,2018,Total,Female,1327
36,2018,Total,Female,1241
37,2018,Total,Female,1381
38,2018,Total,Female,1359
39,2018,Total,Female,1433
40,2018,Total,Female,1399
41,2018,Total,Female,1405
42,2018,Total,Female,1326
43,2018,Total,Female,1442
44,2018,Total,Female,1392
45,2018,Total,Female,1429
46,2018,Total,Female,1461
47,2018,Total,Female,1500
48,2018,Total,Female,1505
49,2018,Total,Female,1505
50,2018,Total,Female,1567
51,2018,Total,Female,1496
52,2018,Total,Female,243
0,2019,Total,Female,1356
1,2019,Total,Female,1684
2,2019,Total,Female,1630
3,2019,Total,Female,1634
4,2019,Total,Female,1565
5,2019,Total,Female,1595
6,2019,Total,Female,1673
7,2019,Total,Female,1692
8,2019,Total,Female,1604
9,2019,Total,Female,1590
10,2019,Total,Female,1645
11,2019,Total,Female,1578
12,2019,Total,Female,1505
13,2019,Total,Female,1514
14,2019,Total,Female,1430
15,2019,Total,Female,1562
16,2019,Total,Female,1538
17,2019,Total,Female,1443
18,2019,Total,Female,1437
19,2019,Total,Female,1455
20,2019,Total,Female,1503
21,2019,Total,Female,1375
22,2019,Total,Female,1409
23,2019,Total,Female,1311
24,2019,Total,Female,1338
25,2019,Total,Female,1433
26,2019,Total,Female,1370
27,2019,Total,Female,1434
28,2019,Total,Female,1311
29,2019,Total,Female,1553
30,2019,Total,Female,1383
31,2019,Total,Female,1349
32,2019,Total,Female,1329
33,2019,Total,Female,1311
34,2019,Total,Female,1452
35,2019,Total,Female,1328
36,2019,Total,Female,1352
37,2019,Total,Female,1313
38,2019,Total,Female,1376
39,2019,Total,Female,1345
40,2019,Total,Female,1430
41,2019,Total,Female,1470
42,2019,Total,Female,1432
43,2019,Total,Female,1440
44,2019,Total,Female,1499
45,2019,Total,Female,1548
46,2019,Total,Female,1591
47,2019,Total,Female,1533
48,2019,Total,Female,1544
49,2019,Total,Female,1608
50,2019,Total,Female,1627
51,2019,Total,Female,1544
52,2019,Total,Female,446
0,2020,Total,Female,1152
1,2020,Total,Female,1688
2,2020,Total,Female,1626
3,2020,Total,Female,1574
4,2020,Total,Female,1584
5,2020,Total,Female,1600
6,2020,Total,Female,1689
7,2020,Total,Female,1473
8,2020,Total,Female,1589
9,2020,Total,Female,1582
10,2020,Total,Female,1618
11,2020,Total,Female,1733
12,2020,Total,Female,2084
13,2020,Total,Female,2399
14,2020,Total,Female,2445
0,2017,0-64,Female,22
1,2017,0-64,Female,186
2,2017,0-64,Female,180
3,2017,0-64,Female,189
4,2017,0-64,Female,191
5,2017,0-64,Female,157
6,2017,0-64,Female,208
7,2017,0-64,Female,195
8,2017,0-64,Female,192
9,2017,0-64,Female,173
10,2017,0-64,Female,187
11,2017,0-64,Female,183
12,2017,0-64,Female,187
13,2017,0-64,Female,188
14,2017,0-64,Female,186
15,2017,0-64,Female,171
16,2017,0-64,Female,169
17,2017,0-64,Female,151
18,2017,0-64,Female,158
19,2017,0-64,Female,176
20,2017,0-64,Female,168
21,2017,0-64,Female,151
22,2017,0-64,Female,159
23,2017,0-64,Female,176
24,2017,0-64,Female,192
25,2017,0-64,Female,180
26,2017,0-64,Female,182
27,2017,0-64,Female,170
28,2017,0-64,Female,183
29,2017,0-64,Female,163
30,2017,0-64,Female,159
31,2017,0-64,Female,157
32,2017,0-64,Female,174
33,2017,0-64,Female,147
34,2017,0-64,Female,153
35,2017,0-64,Female,169
36,2017,0-64,Female,166
37,2017,0-64,Female,182
38,2017,0-64,Female,183
39,2017,0-64,Female,158
40,2017,0-64,Female,167
41,2017,0-64,Female,178
42,2017,0-64,Female,183
43,2017,0-64,Female,204
44,2017,0-64,Female,170
45,2017,0-64,Female,172
46,2017,0-64,Female,186
47,2017,0-64,Female,168
48,2017,0-64,Female,154
49,2017,0-64,Female,177
50,2017,0-64,Female,189
51,2017,0-64,Female,181
52,2017,0-64,Female,188
0,2018,0-64,Female,160
1,2018,0-64,Female,166
2,2018,0-64,Female,183
3,2018,0-64,Female,163
4,2018,0-64,Female,192
5,2018,0-64,Female,190
6,2018,0-64,Female,167
7,2018,0-64,Female,181
8,2018,0-64,Female,207
9,2018,0-64,Female,188
10,2018,0-64,Female,189
11,2018,0-64,Female,199
12,2018,0-64,Female,166
13,2018,0-64,Female,195
14,2018,0-64,Female,185
15,2018,0-64,Female,185
16,2018,0-64,Female,167
17,2018,0-64,Female,161
18,2018,0-64,Female,144
19,2018,0-64,Female,158
20,2018,0-64,Female,163
21,2018,0-64,Female,179
22,2018,0-64,Female,164
23,2018,0-64,Female,163
24,2018,0-64,Female,158
25,2018,0-64,Female,140
26,2018,0-64,Female,184
27,2018,0-64,Female,184
28,2018,0-64,Female,167
29,2018,0-64,Female,159
30,2018,0-64,Female,157
31,2018,0-64,Female,180
32,2018,0-64,Female,173
33,2018,0-64,Female,165
34,2018,0-64,Female,160
35,2018,0-64,Female,186
36,2018,0-64,Female,148
37,2018,0-64,Female,165
38,2018,0-64,Female,196
39,2018,0-64,Female,182
40,2018,0-64,Female,192
41,2018,0-64,Female,164
42,2018,0-64,Female,163
43,2018,0-64,Female,161
44,2018,0-64,Female,181
45,2018,0-64,Female,183
46,2018,0-64,Female,180
47,2018,0-64,Female,173
48,2018,0-64,Female,199
49,2018,0-64,Female,200
50,2018,0-64,Female,179
51,2018,0-64,Female,192
52,2018,0-64,Female,30
0,2019,0-64,Female,149
1,2019,0-64,Female,188
2,2019,0-64,Female,179
3,2019,0-64,Female,209
4,2019,0-64,Female,174
5,2019,0-64,Female,174
6,2019,0-64,Female,165
7,2019,0-64,Female,176
8,2019,0-64,Female,181
9,2019,0-64,Female,177
10,2019,0-64,Female,199
11,2019,0-64,Female,162
12,2019,0-64,Female,166
13,2019,0-64,Female,163
14,2019,0-64,Female,140
15,2019,0-64,Female,186
16,2019,0-64,Female,150
17,2019,0-64,Female,155
18,2019,0-64,Female,153
19,2019,0-64,Female,163
20,2019,0-64,Female,164
21,2019,0-64,Female,151
22,2019,0-64,Female,188
23,2019,0-64,Female,143
24,2019,0-64,Female,153
25,2019,0-64,Female,167
26,2019,0-64,Female,159
27,2019,0-64,Female,156
28,2019,0-64,Female,155
29,2019,0-64,Female,196
30,2019,0-64,Female,157
31,2019,0-64,Female,169
32,2019,0-64,Female,141
33,2019,0-64,Female,170
34,2019,0-64,Female,170
35,2019,0-64,Female,163
36,2019,0-64,Female,175
37,2019,0-64,Female,148
38,2019,0-64,Female,159
39,2019,0-64,Female,174
40,2019,0-64,Female,149
41,2019,0-64,Female,160
42,2019,0-64,Female,169
43,2019,0-64,Female,176
44,2019,0-64,Female,196
45,2019,0-64,Female,195
46,2019,0-64,Female,165
47,2019,0-64,Female,195
48,2019,0-64,Female,178
49,2019,0-64,Female,186
50,2019,0-64,Female,189
51,2019,0-64,Female,163
52,2019,0-64,Female,46
0,2020,0-64,Female,123
1,2020,0-64,Female,179
2,2020,0-64,Female,168
3,2020,0-64,Female,138
4,2020,0-64,Female,170
5,2020,0-64,Female,161
6,2020,0-64,Female,184
7,2020,0-64,Female,149
8,2020,0-64,Female,173
9,2020,0-64,Female,163
10,2020,0-64,Female,158
11,2020,0-64,Female,178
12,2020,0-64,Female,191
13,2020,0-64,Female,204
0,2017,65-79,Female,63
1,2017,65-79,Female,407
2,2017,65-79,Female,406
3,2017,65-79,Female,366
4,2017,65-79,Female,411
5,2017,65-79,Female,428
6,2017,65-79,Female,415
7,2017,65-79,Female,384
8,2017,65-79,Female,405
9,2017,65-79,Female,334
10,2017,65-79,Female,380
11,2017,65-79,Female,325
12,2017,65-79,Female,340
13,2017,65-79,Female,354
14,2017,65-79,Female,345
15,2017,65-79,Female,371
16,2017,65-79,Female,329
17,2017,65-79,Female,353
18,2017,65-79,Female,346
19,2017,65-79,Female,372
20,2017,65-79,Female,359
21,2017,65-79,Female,327
22,2017,65-79,Female,356
23,2017,65-79,Female,330
24,2017,65-79,Female,323
25,2017,65-79,Female,355
26,2017,65-79,Female,316
27,2017,65-79,Female,363
28,2017,65-79,Female,308
29,2017,65-79,Female,345
30,2017,65-79,Female,345
31,2017,65-79,Female,303
32,2017,65-79,Female,353
33,2017,65-79,Female,335
34,2017,65-79,Female,316
35,2017,65-79,Female,300
36,2017,65-79,Female,346
37,2017,65-79,Female,355
38,2017,65-79,Female,345
39,2017,65-79,Female,336
40,2017,65-79,Female,296
41,2017,65-79,Female,344
42,2017,65-79,Female,347
43,2017,65-79,Female,313
44,2017,65-79,Female,333
45,2017,65-79,Female,346
46,2017,65-79,Female,384
47,2017,65-79,Female,377
48,2017,65-79,Female,337
49,2017,65-79,Female,389
50,2017,65-79,Female,457
51,2017,65-79,Female,391
52,2017,65-79,Female,420
0,2018,65-79,Female,400
1,2018,65-79,Female,418
2,2018,65-79,Female,402
3,2018,65-79,Female,386
4,2018,65-79,Female,391
5,2018,65-79,Female,418
6,2018,65-79,Female,470
7,2018,65-79,Female,452
8,2018,65-79,Female,459
9,2018,65-79,Female,458
10,2018,65-79,Female,438
11,2018,65-79,Female,369
12,2018,65-79,Female,365
13,2018,65-79,Female,395
14,2018,65-79,Female,368
15,2018,65-79,Female,358
16,2018,65-79,Female,323
17,2018,65-79,Female,319
18,2018,65-79,Female,295
19,2018,65-79,Female,346
20,2018,65-79,Female,317
21,2018,65-79,Female,351
22,2018,65-79,Female,338
23,2018,65-79,Female,334
24,2018,65-79,Female,336
25,2018,65-79,Female,343
26,2018,65-79,Female,353
27,2018,65-79,Female,330
28,2018,65-79,Female,311
29,2018,65-79,Female,354
30,2018,65-79,Female,372
31,2018,65-79,Female,330
32,2018,65-79,Female,324
33,2018,65-79,Female,307
34,2018,65-79,Female,358
35,2018,65-79,Female,352
36,2018,65-79,Female,312
37,2018,65-79,Female,390
38,2018,65-79,Female,338
39,2018,65-79,Female,396
40,2018,65-79,Female,359
41,2018,65-79,Female,340
42,2018,65-79,Female,353
43,2018,65-79,Female,397
44,2018,65-79,Female,376
45,2018,65-79,Female,348
46,2018,65-79,Female,403
47,2018,65-79,Female,401
48,2018,65-79,Female,376
49,2018,65-79,Female,388
50,2018,65-79,Female,421
51,2018,65-79,Female,379
52,2018,65-79,Female,51
0,2019,65-79,Female,321
1,2019,65-79,Female,376
2,2019,65-79,Female,388
3,2019,65-79,Female,419
4,2019,65-79,Female,376
5,2019,65-79,Female,430
6,2019,65-79,Female,389
7,2019,65-79,Female,399
8,2019,65-79,Female,379
9,2019,65-79,Female,368
10,2019,65-79,Female,406
11,2019,65-79,Female,360
12,2019,65-79,Female,350
13,2019,65-79,Female,373
14,2019,65-79,Female,382
15,2019,65-79,Female,378
16,2019,65-79,Female,387
17,2019,65-79,Female,392
18,2019,65-79,Female,374
19,2019,65-79,Female,345
20,2019,65-79,Female,357
21,2019,65-79,Female,337
22,2019,65-79,Female,366
23,2019,65-79,Female,329
24,2019,65-79,Female,349
25,2019,65-79,Female,351
26,2019,65-79,Female,373
27,2019,65-79,Female,377
28,2019,65-79,Female,332
29,2019,65-79,Female,363
30,2019,65-79,Female,349
31,2019,65-79,Female,325
32,2019,65-79,Female,358
33,2019,65-79,Female,327
34,2019,65-79,Female,395
35,2019,65-79,Female,334
36,2019,65-79,Female,360
37,2019,65-79,Female,346
38,2019,65-79,Female,378
39,2019,65-79,Female,324
40,2019,65-79,Female,374
41,2019,65-79,Female,389
42,2019,65-79,Female,384
43,2019,65-79,Female,382
44,2019,65-79,Female,352
45,2019,65-79,Female,403
46,2019,65-79,Female,402
47,2019,65-79,Female,373
48,2019,65-79,Female,402
49,2019,65-79,Female,429
50,2019,65-79,Female,428
51,2019,65-79,Female,395
52,2019,65-79,Female,115
0,2020,65-79,Female,250
1,2020,65-79,Female,421
2,2020,65-79,Female,395
3,2020,65-79,Female,398
4,2020,65-79,Female,385
5,2020,65-79,Female,407
6,2020,65-79,Female,413
7,2020,65-79,Female,334
8,2020,65-79,Female,385
9,2020,65-79,Female,383
10,2020,65-79,Female,402
11,2020,65-79,Female,404
12,2020,65-79,Female,559
13,2020,65-79,Female,575
0,2017,80+,Female,163
1,2017,80+,Female,1299
2,2017,80+,Female,1310
3,2017,80+,Female,1293
4,2017,80+,Female,1345
5,2017,80+,Female,1292
6,2017,80+,Female,1190
7,2017,80+,Female,1211
8,2017,80+,Female,1173
9,2017,80+,Female,1134
10,2017,80+,Female,1006
11,2017,80+,Female,985
12,2017,80+,Female,924
13,2017,80+,Female,903
14,2017,80+,Female,925
15,2017,80+,Female,887
16,2017,80+,Female,889
17,2017,80+,Female,954
18,2017,80+,Female,906
19,2017,80+,Female,934
20,2017,80+,Female,926
21,2017,80+,Female,933
22,2017,80+,Female,890
23,2017,80+,Female,889
24,2017,80+,Female,848
25,2017,80+,Female,824
26,2017,80+,Female,843
27,2017,80+,Female,877
28,2017,80+,Female,782
29,2017,80+,Female,848
30,2017,80+,Female,820
31,2017,80+,Female,806
32,2017,80+,Female,855
33,2017,80+,Female,796
34,2017,80+,Female,829
35,2017,80+,Female,819
36,2017,80+,Female,781
37,2017,80+,Female,830
38,2017,80+,Female,833
39,2017,80+,Female,865
40,2017,80+,Female,848
41,2017,80+,Female,867
42,2017,80+,Female,877
43,2017,80+,Female,873
44,2017,80+,Female,896
45,2017,80+,Female,926
46,2017,80+,Female,970
47,2017,80+,Female,928
48,2017,80+,Female,931
49,2017,80+,Female,974
50,2017,80+,Female,1000
51,2017,80+,Female,1065
52,2017,80+,Female,1059
0,2018,80+,Female,1226
1,2018,80+,Female,1183
2,2018,80+,Female,1159
3,2018,80+,Female,1123
4,2018,80+,Female,1261
5,2018,80+,Female,1265
6,2018,80+,Female,1243
7,2018,80+,Female,1308
8,2018,80+,Female,1403
9,2018,80+,Female,1542
10,2018,80+,Female,1347
11,2018,80+,Female,1171
12,2018,80+,Female,1134
13,2018,80+,Female,1005
14,2018,80+,Female,962
15,2018,80+,Female,904
16,2018,80+,Female,894
17,2018,80+,Female,851
18,2018,80+,Female,860
19,2018,80+,Female,825
20,2018,80+,Female,892
21,2018,80+,Female,896
22,2018,80+,Female,864
23,2018,80+,Female,812
24,2018,80+,Female,806
25,2018,80+,Female,825
26,2018,80+,Female,863
27,2018,80+,Female,878
28,2018,80+,Female,915
29,2018,80+,Female,910
30,2018,80+,Female,896
31,2018,80+,Female,896
32,2018,80+,Female,828
33,2018,80+,Female,819
34,2018,80+,Female,734
35,2018,80+,Female,789
36,2018,80+,Female,781
37,2018,80+,Female,826
38,2018,80+,Female,825
39,2018,80+,Female,855
40,2018,80+,Female,848
41,2018,80+,Female,901
42,2018,80+,Female,810
43,2018,80+,Female,884
44,2018,80+,Female,835
45,2018,80+,Female,898
46,2018,80+,Female,878
47,2018,80+,Female,926
48,2018,80+,Female,930
49,2018,80+,Female,917
50,2018,80+,Female,967
51,2018,80+,Female,925
52,2018,80+,Female,162
0,2019,80+,Female,886
1,2019,80+,Female,1120
2,2019,80+,Female,1063
3,2019,80+,Female,1006
4,2019,80+,Female,1015
5,2019,80+,Female,991
6,2019,80+,Female,1119
7,2019,80+,Female,1117
8,2019,80+,Female,1044
9,2019,80+,Female,1045
10,2019,80+,Female,1040
11,2019,80+,Female,1056
12,2019,80+,Female,989
13,2019,80+,Female,978
14,2019,80+,Female,908
15,2019,80+,Female,998
16,2019,80+,Female,1001
17,2019,80+,Female,896
18,2019,80+,Female,910
19,2019,80+,Female,947
20,2019,80+,Female,982
21,2019,80+,Female,887
22,2019,80+,Female,855
23,2019,80+,Female,839
24,2019,80+,Female,836
25,2019,80+,Female,915
26,2019,80+,Female,838
27,2019,80+,Female,901
28,2019,80+,Female,824
29,2019,80+,Female,994
30,2019,80+,Female,877
31,2019,80+,Female,855
32,2019,80+,Female,830
33,2019,80+,Female,814
34,2019,80+,Female,887
35,2019,80+,Female,831
36,2019,80+,Female,817
37,2019,80+,Female,819
38,2019,80+,Female,839
39,2019,80+,Female,847
40,2019,80+,Female,907
41,2019,80+,Female,921
42,2019,80+,Female,879
43,2019,80+,Female,882
44,2019,80+,Female,951
45,2019,80+,Female,950
46,2019,80+,Female,1024
47,2019,80+,Female,965
48,2019,80+,Female,964
49,2019,80+,Female,993
50,2019,80+,Female,1010
51,2019,80+,Female,986
52,2019,80+,Female,285
0,2020,80+,Female,779
1,2020,80+,Female,1088
2,2020,80+,Female,1063
3,2020,80+,Female,1038
4,2020,80+,Female,1029
5,2020,80+,Female,1032
6,2020,80+,Female,1092
7,2020,80+,Female,990
8,2020,80+,Female,1031
9,2020,80+,Female,1036
10,2020,80+,Female,1058
11,2020,80+,Female,1151
12,2020,80+,Female,1334
13,2020,80+,Female,1620
