Week,Year,Age,Sex,Condition,Region,Deaths
0,2020,Total,Total,Total,Total,12254
1,2020,Total,Total,Total,Total,14058
2,2020,Total,Total,Total,Total,12990
3,2020,Total,Total,Total,Total,11856
4,2020,Total,Total,Total,Total,11612
5,2020,Total,Total,Total,Total,10986
6,2020,Total,Total,Total,Total,10944
7,2020,Total,Total,Total,Total,10841
8,2020,Total,Total,Total,Total,10816
9,2020,Total,Total,Total,Total,10895
10,2020,Total,Total,Total,Total,11019
11,2020,Total,Total,Total,Total,10645
12,2020,Total,Total,Total,Total,11141
13,2020,Total,Total,Total,Total,16387
14,2020,Total,Total,Total,Total,18516
0,2020,Total,Total,Respiratory,Total,2141
1,2020,Total,Total,Respiratory,Total,2477
2,2020,Total,Total,Respiratory,Total,2188
3,2020,Total,Total,Respiratory,Total,1893
4,2020,Total,Total,Respiratory,Total,1746
5,2020,Total,Total,Respiratory,Total,1572
6,2020,Total,Total,Respiratory,Total,1602
7,2020,Total,Total,Respiratory,Total,1619
8,2020,Total,Total,Respiratory,Total,1546
9,2020,Total,Total,Respiratory,Total,1584
10,2020,Total,Total,Respiratory,Total,1502
11,2020,Total,Total,Respiratory,Total,1510
12,2020,Total,Total,Respiratory,Total,1516
13,2020,Total,Total,Respiratory,Total,1965
14,2020,Total,Total,Respiratory,Total,1810
0,2020,01-14,Female,Total,Total,8
0,2020,01-14,Male,Total,Total,8
0,2020,01-14,Total,Total,Total,16
0,2020,15-44,Female,Total,Total,74
0,2020,15-44,Male,Total,Total,115
0,2020,15-44,Total,Total,Total,189
0,2020,45-64,Female,Total,Total,536
0,2020,45-64,Male,Total,Total,665
0,2020,45-64,Total,Total,Total,1201
0,2020,65-74,Female,Total,Total,748
0,2020,65-74,Male,Total,Total,1112
0,2020,65-74,Total,Total,Total,1860
0,2020,75-84,Female,Total,Total,1705
0,2020,75-84,Male,Total,Total,1879
0,2020,75-84,Total,Total,Total,3584
0,2020,85+,Female,Total,Total,3275
0,2020,85+,Male,Total,Total,2080
0,2020,85+,Total,Total,Total,5355
0,2020,Under 1 year,Female,Total,Total,18
0,2020,Under 1 year,Male,Total,Total,30
0,2020,Under 1 year,Total,Total,Total,48
1,2020,01-14,Female,Total,Total,11
1,2020,01-14,Male,Total,Total,15
1,2020,01-14,Total,Total,Total,26
1,2020,15-44,Female,Total,Total,99
1,2020,15-44,Male,Total,Total,176
1,2020,15-44,Total,Total,Total,275
1,2020,45-64,Female,Total,Total,616
1,2020,45-64,Male,Total,Total,884
1,2020,45-64,Total,Total,Total,1500
1,2020,65-74,Female,Total,Total,928
1,2020,65-74,Male,Total,Total,1270
1,2020,65-74,Total,Total,Total,2198
1,2020,75-84,Female,Total,Total,1918
1,2020,75-84,Male,Total,Total,2096
1,2020,75-84,Total,Total,Total,4014
1,2020,85+,Female,Total,Total,3636
1,2020,85+,Male,Total,Total,2358
1,2020,85+,Total,Total,Total,5994
1,2020,Under 1 year,Female,Total,Total,21
1,2020,Under 1 year,Male,Total,Total,29
1,2020,Under 1 year,Total,Total,Total,50
2,2020,01-14,Female,Total,Total,5
2,2020,01-14,Male,Total,Total,11
2,2020,01-14,Total,Total,Total,16
2,2020,15-44,Female,Total,Total,107
2,2020,15-44,Male,Total,Total,207
2,2020,15-44,Total,Total,Total,314
2,2020,45-64,Female,Total,Total,579
2,2020,45-64,Male,Total,Total,939
2,2020,45-64,Total,Total,Total,1518
2,2020,65-74,Female,Total,Total,852
2,2020,65-74,Male,Total,Total,1161
2,2020,65-74,Total,Total,Total,2013
2,2020,75-84,Female,Total,Total,1749
2,2020,75-84,Male,Total,Total,1966
2,2020,75-84,Total,Total,Total,3715
2,2020,85+,Female,Total,Total,3237
2,2020,85+,Male,Total,Total,2108
2,2020,85+,Total,Total,Total,5345
2,2020,Under 1 year,Female,Total,Total,31
2,2020,Under 1 year,Male,Total,Total,38
2,2020,Under 1 year,Total,Total,Total,69
3,2020,01-14,Female,Total,Total,7
3,2020,01-14,Male,Total,Total,14
3,2020,01-14,Total,Total,Total,21
3,2020,15-44,Female,Total,Total,100
3,2020,15-44,Male,Total,Total,214
3,2020,15-44,Total,Total,Total,314
3,2020,45-64,Female,Total,Total,536
3,2020,45-64,Male,Total,Total,820
3,2020,45-64,Total,Total,Total,1356
3,2020,65-74,Female,Total,Total,813
3,2020,65-74,Male,Total,Total,1145
3,2020,65-74,Total,Total,Total,1958
3,2020,75-84,Female,Total,Total,1567
3,2020,75-84,Male,Total,Total,1770
3,2020,75-84,Total,Total,Total,3337
3,2020,85+,Female,Total,Total,2890
3,2020,85+,Male,Total,Total,1924
3,2020,85+,Total,Total,Total,4814
3,2020,Under 1 year,Female,Total,Total,25
3,2020,Under 1 year,Male,Total,Total,28
3,2020,Under 1 year,Total,Total,Total,53
4,2020,01-14,Female,Total,Total,4
4,2020,01-14,Male,Total,Total,11
4,2020,01-14,Total,Total,Total,15
4,2020,15-44,Female,Total,Total,113
4,2020,15-44,Male,Total,Total,195
4,2020,15-44,Total,Total,Total,308
4,2020,45-64,Female,Total,Total,490
4,2020,45-64,Male,Total,Total,858
4,2020,45-64,Total,Total,Total,1348
4,2020,65-74,Female,Total,Total,808
4,2020,65-74,Male,Total,Total,1120
4,2020,65-74,Total,Total,Total,1928
4,2020,75-84,Female,Total,Total,1510
4,2020,75-84,Male,Total,Total,1746
4,2020,75-84,Total,Total,Total,3256
4,2020,85+,Female,Total,Total,2865
4,2020,85+,Male,Total,Total,1842
4,2020,85+,Total,Total,Total,4707
4,2020,Under 1 year,Female,Total,Total,28
4,2020,Under 1 year,Male,Total,Total,22
4,2020,Under 1 year,Total,Total,Total,50
5,2020,01-14,Female,Total,Total,5
5,2020,01-14,Male,Total,Total,11
5,2020,01-14,Total,Total,Total,16
5,2020,15-44,Female,Total,Total,97
5,2020,15-44,Male,Total,Total,174
5,2020,15-44,Total,Total,Total,271
5,2020,45-64,Female,Total,Total,545
5,2020,45-64,Male,Total,Total,784
5,2020,45-64,Total,Total,Total,1329
5,2020,65-74,Female,Total,Total,760
5,2020,65-74,Male,Total,Total,1049
5,2020,65-74,Total,Total,Total,1809
5,2020,75-84,Female,Total,Total,1468
5,2020,75-84,Male,Total,Total,1588
5,2020,75-84,Total,Total,Total,3056
5,2020,85+,Female,Total,Total,2687
5,2020,85+,Male,Total,Total,1786
5,2020,85+,Total,Total,Total,4473
5,2020,Under 1 year,Female,Total,Total,16
5,2020,Under 1 year,Male,Total,Total,14
5,2020,Under 1 year,Total,Total,Total,30
6,2020,01-14,Female,Total,Total,4
6,2020,01-14,Male,Total,Total,8
6,2020,01-14,Total,Total,Total,12
6,2020,15-44,Female,Total,Total,102
6,2020,15-44,Male,Total,Total,184
6,2020,15-44,Total,Total,Total,286
6,2020,45-64,Female,Total,Total,521
6,2020,45-64,Male,Total,Total,767
6,2020,45-64,Total,Total,Total,1288
6,2020,65-74,Female,Total,Total,694
6,2020,65-74,Male,Total,Total,1060
6,2020,65-74,Total,Total,Total,1754
6,2020,75-84,Female,Total,Total,1413
6,2020,75-84,Male,Total,Total,1596
6,2020,75-84,Total,Total,Total,3009
6,2020,85+,Female,Total,Total,2709
6,2020,85+,Male,Total,Total,1847
6,2020,85+,Total,Total,Total,4556
6,2020,Under 1 year,Female,Total,Total,14
6,2020,Under 1 year,Male,Total,Total,29
6,2020,Under 1 year,Total,Total,Total,43
7,2020,01-14,Female,Total,Total,7
7,2020,01-14,Male,Total,Total,11
7,2020,01-14,Total,Total,Total,18
7,2020,15-44,Female,Total,Total,119
7,2020,15-44,Male,Total,Total,202
7,2020,15-44,Total,Total,Total,321
7,2020,45-64,Female,Total,Total,546
7,2020,45-64,Male,Total,Total,725
7,2020,45-64,Total,Total,Total,1271
7,2020,65-74,Female,Total,Total,745
7,2020,65-74,Male,Total,Total,998
7,2020,65-74,Total,Total,Total,1743
7,2020,75-84,Female,Total,Total,1362
7,2020,75-84,Male,Total,Total,1672
7,2020,75-84,Total,Total,Total,3034
7,2020,85+,Female,Total,Total,2603
7,2020,85+,Male,Total,Total,1799
7,2020,85+,Total,Total,Total,4402
7,2020,Under 1 year,Female,Total,Total,19
7,2020,Under 1 year,Male,Total,Total,32
7,2020,Under 1 year,Total,Total,Total,51
8,2020,01-14,Female,Total,Total,5
8,2020,01-14,Male,Total,Total,15
8,2020,01-14,Total,Total,Total,20
8,2020,15-44,Female,Total,Total,112
8,2020,15-44,Male,Total,Total,203
8,2020,15-44,Total,Total,Total,315
8,2020,45-64,Female,Total,Total,540
8,2020,45-64,Male,Total,Total,717
8,2020,45-64,Total,Total,Total,1257
8,2020,65-74,Female,Total,Total,729
8,2020,65-74,Male,Total,Total,1064
8,2020,65-74,Total,Total,Total,1793
8,2020,75-84,Female,Total,Total,1388
8,2020,75-84,Male,Total,Total,1580
8,2020,75-84,Total,Total,Total,2968
8,2020,85+,Female,Total,Total,2587
8,2020,85+,Male,Total,Total,1826
8,2020,85+,Total,Total,Total,4413
8,2020,Under 1 year,Female,Total,Total,19
8,2020,Under 1 year,Male,Total,Total,30
8,2020,Under 1 year,Total,Total,Total,49
9,2020,01-14,Female,Total,Total,10
9,2020,01-14,Male,Total,Total,10
9,2020,01-14,Total,Total,Total,20
9,2020,15-44,Female,Total,Total,109
9,2020,15-44,Male,Total,Total,203
9,2020,15-44,Total,Total,Total,312
9,2020,45-64,Female,Total,Total,508
9,2020,45-64,Male,Total,Total,744
9,2020,45-64,Total,Total,Total,1252
9,2020,65-74,Female,Total,Total,735
9,2020,65-74,Male,Total,Total,1034
9,2020,65-74,Total,Total,Total,1769
9,2020,75-84,Female,Total,Total,1460
9,2020,75-84,Male,Total,Total,1663
9,2020,75-84,Total,Total,Total,3123
9,2020,85+,Female,Total,Total,2587
9,2020,85+,Male,Total,Total,1773
9,2020,85+,Total,Total,Total,4360
9,2020,Under 1 year,Female,Total,Total,25
9,2020,Under 1 year,Male,Total,Total,31
9,2020,Under 1 year,Total,Total,Total,56
10,2020,01-14,Female,Total,Total,14
10,2020,01-14,Male,Total,Total,8
10,2020,01-14,Total,Total,Total,22
10,2020,15-44,Female,Total,Total,113
10,2020,15-44,Male,Total,Total,198
10,2020,15-44,Total,Total,Total,311
10,2020,45-64,Female,Total,Total,521
10,2020,45-64,Male,Total,Total,819
10,2020,45-64,Total,Total,Total,1340
10,2020,65-74,Female,Total,Total,704
10,2020,65-74,Male,Total,Total,1049
10,2020,65-74,Total,Total,Total,1753
10,2020,75-84,Female,Total,Total,1452
10,2020,75-84,Male,Total,Total,1652
10,2020,75-84,Total,Total,Total,3104
10,2020,85+,Female,Total,Total,2614
10,2020,85+,Male,Total,Total,1820
10,2020,85+,Total,Total,Total,4434
10,2020,Under 1 year,Female,Total,Total,29
10,2020,Under 1 year,Male,Total,Total,24
10,2020,Under 1 year,Total,Total,Total,53
11,2020,01-14,Female,Total,Total,4
11,2020,01-14,Male,Total,Total,8
11,2020,01-14,Total,Total,Total,12
11,2020,15-44,Female,Total,Total,90
11,2020,15-44,Male,Total,Total,185
11,2020,15-44,Total,Total,Total,275
11,2020,45-64,Female,Total,Total,497
11,2020,45-64,Male,Total,Total,767
11,2020,45-64,Total,Total,Total,1264
11,2020,65-74,Female,Total,Total,747
11,2020,65-74,Male,Total,Total,1033
11,2020,65-74,Total,Total,Total,1780
11,2020,75-84,Female,Total,Total,1412
11,2020,75-84,Male,Total,Total,1655
11,2020,75-84,Total,Total,Total,3067
11,2020,85+,Female,Total,Total,2479
11,2020,85+,Male,Total,Total,1725
11,2020,85+,Total,Total,Total,4204
11,2020,Under 1 year,Female,Total,Total,19
11,2020,Under 1 year,Male,Total,Total,25
11,2020,Under 1 year,Total,Total,Total,44
12,2020,01-14,Female,Total,Total,8
12,2020,01-14,Male,Total,Total,5
12,2020,01-14,Total,Total,Total,13
12,2020,15-44,Female,Total,Total,97
12,2020,15-44,Male,Total,Total,186
12,2020,15-44,Total,Total,Total,283
12,2020,45-64,Female,Total,Total,537
12,2020,45-64,Male,Total,Total,764
12,2020,45-64,Total,Total,Total,1301
12,2020,65-74,Female,Total,Total,716
12,2020,65-74,Male,Total,Total,1089
12,2020,65-74,Total,Total,Total,1805
12,2020,75-84,Female,Total,Total,1454
12,2020,75-84,Male,Total,Total,1793
12,2020,75-84,Total,Total,Total,3247
12,2020,85+,Female,Total,Total,2577
12,2020,85+,Male,Total,Total,1867
12,2020,85+,Total,Total,Total,4444
12,2020,Under 1 year,Female,Total,Total,22
12,2020,Under 1 year,Male,Total,Total,27
12,2020,Under 1 year,Total,Total,Total,49
13,2020,01-14,Female,Total,Total,14
13,2020,01-14,Male,Total,Total,7
13,2020,01-14,Total,Total,Total,21
13,2020,15-44,Female,Total,Total,105
13,2020,15-44,Male,Total,Total,183
13,2020,15-44,Total,Total,Total,288
13,2020,45-64,Female,Total,Total,703
13,2020,45-64,Male,Total,Total,1157
13,2020,45-64,Total,Total,Total,1860
13,2020,65-74,Female,Total,Total,1033
13,2020,65-74,Male,Total,Total,1701
13,2020,65-74,Total,Total,Total,2734
13,2020,75-84,Female,Total,Total,2132
13,2020,75-84,Male,Total,Total,2873
13,2020,75-84,Total,Total,Total,5005
13,2020,85+,Female,Total,Total,3581
13,2020,85+,Male,Total,Total,2847
13,2020,85+,Total,Total,Total,6428
13,2020,Under 1 year,Female,Total,Total,25
13,2020,Under 1 year,Male,Total,Total,26
13,2020,Under 1 year,Total,Total,Total,51
14,2020,01-14,Female,Total,Total,7
14,2020,01-14,Male,Total,Total,7
14,2020,01-14,Total,Total,Total,14
14,2020,15-44,Female,Total,Total,131
14,2020,15-44,Male,Total,Total,201
14,2020,15-44,Total,Total,Total,332
14,2020,45-64,Female,Total,Total,796
14,2020,45-64,Male,Total,Total,1315
14,2020,45-64,Total,Total,Total,2111
14,2020,65-74,Female,Total,Total,1142
14,2020,65-74,Male,Total,Total,1804
14,2020,65-74,Total,Total,Total,2946
14,2020,75-84,Female,Total,Total,2367
14,2020,75-84,Male,Total,Total,3246
14,2020,75-84,Total,Total,Total,5613
14,2020,85+,Female,Total,Total,4115
14,2020,85+,Male,Total,Total,3347
14,2020,85+,Total,Total,Total,7462
14,2020,Under 1 year,Female,Total,Total,10
14,2020,Under 1 year,Male,Total,Total,28
14,2020,Under 1 year,Total,Total,Total,38
0,2020,Total,Total,Total,North East,673
1,2020,Total,Total,Total,North East,707
2,2020,Total,Total,Total,North East,647
3,2020,Total,Total,Total,North East,612
4,2020,Total,Total,Total,North East,561
5,2020,Total,Total,Total,North East,564
6,2020,Total,Total,Total,North East,573
7,2020,Total,Total,Total,North East,539
8,2020,Total,Total,Total,North East,572
9,2020,Total,Total,Total,North East,568
10,2020,Total,Total,Total,North East,590
11,2020,Total,Total,Total,North East,522
12,2020,Total,Total,Total,North East,542
13,2020,Total,Total,Total,North East,770
14,2020,Total,Total,Total,North East,849
0,2020,Total,Total,Total,North West,1806
1,2020,Total,Total,Total,North West,1932
2,2020,Total,Total,Total,North West,1696
3,2020,Total,Total,Total,North West,1529
4,2020,Total,Total,Total,North West,1461
5,2020,Total,Total,Total,North West,1529
6,2020,Total,Total,Total,North West,1427
7,2020,Total,Total,Total,North West,1477
8,2020,Total,Total,Total,North West,1476
9,2020,Total,Total,Total,North West,1490
10,2020,Total,Total,Total,North West,1472
11,2020,Total,Total,Total,North West,1443
12,2020,Total,Total,Total,North West,1538
13,2020,Total,Total,Total,North West,2137
14,2020,Total,Total,Total,North West,2597
0,2020,Total,Total,Total,Yorkshire and The Humber,1240
1,2020,Total,Total,Total,Yorkshire and The Humber,1339
2,2020,Total,Total,Total,Yorkshire and The Humber,1278
3,2020,Total,Total,Total,Yorkshire and The Humber,1187
4,2020,Total,Total,Total,Yorkshire and The Humber,1136
5,2020,Total,Total,Total,Yorkshire and The Humber,1072
6,2020,Total,Total,Total,Yorkshire and The Humber,1059
7,2020,Total,Total,Total,Yorkshire and The Humber,1087
8,2020,Total,Total,Total,Yorkshire and The Humber,1078
9,2020,Total,Total,Total,Yorkshire and The Humber,1112
10,2020,Total,Total,Total,Yorkshire and The Humber,1053
11,2020,Total,Total,Total,Yorkshire and The Humber,1012
12,2020,Total,Total,Total,Yorkshire and The Humber,982
13,2020,Total,Total,Total,Yorkshire and The Humber,1436
14,2020,Total,Total,Total,Yorkshire and The Humber,1503
0,2020,Total,Total,Total,East Midlands,1060
1,2020,Total,Total,Total,East Midlands,1195
2,2020,Total,Total,Total,East Midlands,1106
3,2020,Total,Total,Total,East Midlands,1024
4,2020,Total,Total,Total,East Midlands,1015
5,2020,Total,Total,Total,East Midlands,922
6,2020,Total,Total,Total,East Midlands,976
7,2020,Total,Total,Total,East Midlands,924
8,2020,Total,Total,Total,East Midlands,919
9,2020,Total,Total,Total,East Midlands,930
10,2020,Total,Total,Total,East Midlands,915
11,2020,Total,Total,Total,East Midlands,947
12,2020,Total,Total,Total,East Midlands,922
13,2020,Total,Total,Total,East Midlands,1246
14,2020,Total,Total,Total,East Midlands,1452
0,2020,Total,Total,Total,West Midlands,1349
1,2020,Total,Total,Total,West Midlands,1450
2,2020,Total,Total,Total,West Midlands,1407
3,2020,Total,Total,Total,West Midlands,1231
4,2020,Total,Total,Total,West Midlands,1262
5,2020,Total,Total,Total,West Midlands,1052
6,2020,Total,Total,Total,West Midlands,1159
7,2020,Total,Total,Total,West Midlands,1116
8,2020,Total,Total,Total,West Midlands,1174
9,2020,Total,Total,Total,West Midlands,1098
10,2020,Total,Total,Total,West Midlands,1187
11,2020,Total,Total,Total,West Midlands,1115
12,2020,Total,Total,Total,West Midlands,1035
13,2020,Total,Total,Total,West Midlands,1812
14,2020,Total,Total,Total,West Midlands,2182
0,2020,Total,Total,Total,East,1162
1,2020,Total,Total,Total,East,1573
2,2020,Total,Total,Total,East,1457
3,2020,Total,Total,Total,East,1410
4,2020,Total,Total,Total,East,1286
5,2020,Total,Total,Total,East,1259
6,2020,Total,Total,Total,East,1172
7,2020,Total,Total,Total,East,1167
8,2020,Total,Total,Total,East,1115
9,2020,Total,Total,Total,East,1149
10,2020,Total,Total,Total,East,1211
11,2020,Total,Total,Total,East,1043
12,2020,Total,Total,Total,East,1182
13,2020,Total,Total,Total,East,1717
14,2020,Total,Total,Total,East,1984
0,2020,Total,Total,Total,London,1113
1,2020,Total,Total,Total,London,1272
2,2020,Total,Total,Total,London,1073
3,2020,Total,Total,Total,London,1028
4,2020,Total,Total,Total,London,1092
5,2020,Total,Total,Total,London,987
6,2020,Total,Total,Total,London,967
7,2020,Total,Total,Total,London,1032
8,2020,Total,Total,Total,London,1085
9,2020,Total,Total,Total,London,982
10,2020,Total,Total,Total,London,964
11,2020,Total,Total,Total,London,1008
12,2020,Total,Total,Total,London,1297
13,2020,Total,Total,Total,London,2511
14,2020,Total,Total,Total,London,2832
0,2020,Total,Total,Total,South East,1814
1,2020,Total,Total,Total,South East,2132
2,2020,Total,Total,Total,South East,2064
3,2020,Total,Total,Total,South East,1833
4,2020,Total,Total,Total,South East,1820
5,2020,Total,Total,Total,South East,1729
6,2020,Total,Total,Total,South East,1688
7,2020,Total,Total,Total,South East,1675
8,2020,Total,Total,Total,South East,1587
9,2020,Total,Total,Total,South East,1726
10,2020,Total,Total,Total,South East,1751
11,2020,Total,Total,Total,South East,1657
12,2020,Total,Total,Total,South East,1822
13,2020,Total,Total,Total,South East,2294
14,2020,Total,Total,Total,South East,2604
0,2020,Total,Total,Total,South West,1225
1,2020,Total,Total,Total,South West,1487
2,2020,Total,Total,Total,South West,1466
3,2020,Total,Total,Total,South West,1253
4,2020,Total,Total,Total,South West,1233
5,2020,Total,Total,Total,South West,1157
6,2020,Total,Total,Total,South West,1169
7,2020,Total,Total,Total,South West,1118
8,2020,Total,Total,Total,South West,1133
9,2020,Total,Total,Total,South West,1170
10,2020,Total,Total,Total,South West,1174
11,2020,Total,Total,Total,South West,1156
12,2020,Total,Total,Total,South West,1092
13,2020,Total,Total,Total,South West,1520
14,2020,Total,Total,Total,South West,1560
0,2020,Total,Total,Total,Wales,787
1,2020,Total,Total,Total,Wales,939
2,2020,Total,Total,Total,Wales,767
3,2020,Total,Total,Total,Wales,723
4,2020,Total,Total,Total,Wales,727
5,2020,Total,Total,Total,Wales,690
6,2020,Total,Total,Total,Wales,728
7,2020,Total,Total,Total,Wales,679
8,2020,Total,Total,Total,Wales,651
9,2020,Total,Total,Total,Wales,652
10,2020,Total,Total,Total,Wales,675
11,2020,Total,Total,Total,Wales,719
12,2020,Total,Total,Total,Wales,719
13,2020,Total,Total,Total,Wales,920
14,2020,Total,Total,Total,Wales,928
0,2017,Total,Total,Total,Total,11991
1,2017,Total,Total,Total,Total,13715
2,2017,Total,Total,Total,Total,13610
3,2017,Total,Total,Total,Total,12877
4,2017,Total,Total,Total,Total,12485
5,2017,Total,Total,Total,Total,12269
6,2017,Total,Total,Total,Total,11644
7,2017,Total,Total,Total,Total,11794
8,2017,Total,Total,Total,Total,11248
9,2017,Total,Total,Total,Total,11077
10,2017,Total,Total,Total,Total,10697
11,2017,Total,Total,Total,Total,10325
12,2017,Total,Total,Total,Total,10027
13,2017,Total,Total,Total,Total,9939
14,2017,Total,Total,Total,Total,8493
15,2017,Total,Total,Total,Total,9644
16,2017,Total,Total,Total,Total,10908
17,2017,Total,Total,Total,Total,9064
18,2017,Total,Total,Total,Total,10693
19,2017,Total,Total,Total,Total,10288
20,2017,Total,Total,Total,Total,10040
21,2017,Total,Total,Total,Total,8332
22,2017,Total,Total,Total,Total,9766
23,2017,Total,Total,Total,Total,9367
24,2017,Total,Total,Total,Total,9627
25,2017,Total,Total,Total,Total,9334
26,2017,Total,Total,Total,Total,9263
27,2017,Total,Total,Total,Total,9376
28,2017,Total,Total,Total,Total,9113
29,2017,Total,Total,Total,Total,8882
30,2017,Total,Total,Total,Total,8941
31,2017,Total,Total,Total,Total,9038
32,2017,Total,Total,Total,Total,9299
33,2017,Total,Total,Total,Total,9382
34,2017,Total,Total,Total,Total,8149
35,2017,Total,Total,Total,Total,9497
36,2017,Total,Total,Total,Total,9454
37,2017,Total,Total,Total,Total,9534
38,2017,Total,Total,Total,Total,9689
39,2017,Total,Total,Total,Total,9778
40,2017,Total,Total,Total,Total,9940
41,2017,Total,Total,Total,Total,10031
42,2017,Total,Total,Total,Total,9739
43,2017,Total,Total,Total,Total,9984
44,2017,Total,Total,Total,Total,10346
45,2017,Total,Total,Total,Total,10275
46,2017,Total,Total,Total,Total,10621
47,2017,Total,Total,Total,Total,10538
48,2017,Total,Total,Total,Total,10781
49,2017,Total,Total,Total,Total,11217
50,2017,Total,Total,Total,Total,12517
51,2017,Total,Total,Total,Total,8487
0,2017,Total,Total,Respiratory,Total,2321
1,2017,Total,Total,Respiratory,Total,2690
2,2017,Total,Total,Respiratory,Total,2625
3,2017,Total,Total,Respiratory,Total,2373
4,2017,Total,Total,Respiratory,Total,2147
5,2017,Total,Total,Respiratory,Total,2093
6,2017,Total,Total,Respiratory,Total,1932
7,2017,Total,Total,Respiratory,Total,1872
8,2017,Total,Total,Respiratory,Total,1766
9,2017,Total,Total,Respiratory,Total,1660
10,2017,Total,Total,Respiratory,Total,1561
11,2017,Total,Total,Respiratory,Total,1436
12,2017,Total,Total,Respiratory,Total,1324
13,2017,Total,Total,Respiratory,Total,1378
14,2017,Total,Total,Respiratory,Total,1143
15,2017,Total,Total,Respiratory,Total,1311
16,2017,Total,Total,Respiratory,Total,1435
17,2017,Total,Total,Respiratory,Total,1154
18,2017,Total,Total,Respiratory,Total,1423
19,2017,Total,Total,Respiratory,Total,1325
20,2017,Total,Total,Respiratory,Total,1286
21,2017,Total,Total,Respiratory,Total,1076
22,2017,Total,Total,Respiratory,Total,1229
23,2017,Total,Total,Respiratory,Total,1062
24,2017,Total,Total,Respiratory,Total,1215
25,2017,Total,Total,Respiratory,Total,1170
26,2017,Total,Total,Respiratory,Total,1012
27,2017,Total,Total,Respiratory,Total,1141
28,2017,Total,Total,Respiratory,Total,959
29,2017,Total,Total,Respiratory,Total,1004
30,2017,Total,Total,Respiratory,Total,1009
31,2017,Total,Total,Respiratory,Total,937
32,2017,Total,Total,Respiratory,Total,1081
33,2017,Total,Total,Respiratory,Total,1121
34,2017,Total,Total,Respiratory,Total,940
35,2017,Total,Total,Respiratory,Total,1058
36,2017,Total,Total,Respiratory,Total,1022
37,2017,Total,Total,Respiratory,Total,1088
38,2017,Total,Total,Respiratory,Total,1153
39,2017,Total,Total,Respiratory,Total,1208
40,2017,Total,Total,Respiratory,Total,1219
41,2017,Total,Total,Respiratory,Total,1199
42,2017,Total,Total,Respiratory,Total,1144
43,2017,Total,Total,Respiratory,Total,1244
44,2017,Total,Total,Respiratory,Total,1314
45,2017,Total,Total,Respiratory,Total,1362
46,2017,Total,Total,Respiratory,Total,1319
47,2017,Total,Total,Respiratory,Total,1436
48,2017,Total,Total,Respiratory,Total,1497
49,2017,Total,Total,Respiratory,Total,1603
50,2017,Total,Total,Respiratory,Total,1905
51,2017,Total,Total,Respiratory,Total,1431
0,2017,Under 1 year,Total,Total,Total,58
1,2017,Under 1 year,Total,Total,Total,56
2,2017,Under 1 year,Total,Total,Total,54
3,2017,Under 1 year,Total,Total,Total,52
4,2017,Under 1 year,Total,Total,Total,55
5,2017,Under 1 year,Total,Total,Total,57
6,2017,Under 1 year,Total,Total,Total,49
7,2017,Under 1 year,Total,Total,Total,47
8,2017,Under 1 year,Total,Total,Total,53
9,2017,Under 1 year,Total,Total,Total,54
10,2017,Under 1 year,Total,Total,Total,59
11,2017,Under 1 year,Total,Total,Total,55
12,2017,Under 1 year,Total,Total,Total,65
13,2017,Under 1 year,Total,Total,Total,59
14,2017,Under 1 year,Total,Total,Total,38
15,2017,Under 1 year,Total,Total,Total,68
16,2017,Under 1 year,Total,Total,Total,70
17,2017,Under 1 year,Total,Total,Total,44
18,2017,Under 1 year,Total,Total,Total,41
19,2017,Under 1 year,Total,Total,Total,38
20,2017,Under 1 year,Total,Total,Total,71
21,2017,Under 1 year,Total,Total,Total,49
22,2017,Under 1 year,Total,Total,Total,57
23,2017,Under 1 year,Total,Total,Total,60
24,2017,Under 1 year,Total,Total,Total,65
25,2017,Under 1 year,Total,Total,Total,54
26,2017,Under 1 year,Total,Total,Total,60
27,2017,Under 1 year,Total,Total,Total,56
28,2017,Under 1 year,Total,Total,Total,64
29,2017,Under 1 year,Total,Total,Total,37
30,2017,Under 1 year,Total,Total,Total,47
31,2017,Under 1 year,Total,Total,Total,55
32,2017,Under 1 year,Total,Total,Total,50
33,2017,Under 1 year,Total,Total,Total,51
34,2017,Under 1 year,Total,Total,Total,45
35,2017,Under 1 year,Total,Total,Total,53
36,2017,Under 1 year,Total,Total,Total,48
37,2017,Under 1 year,Total,Total,Total,49
38,2017,Under 1 year,Total,Total,Total,45
39,2017,Under 1 year,Total,Total,Total,66
40,2017,Under 1 year,Total,Total,Total,48
41,2017,Under 1 year,Total,Total,Total,62
42,2017,Under 1 year,Total,Total,Total,54
43,2017,Under 1 year,Total,Total,Total,40
44,2017,Under 1 year,Total,Total,Total,47
45,2017,Under 1 year,Total,Total,Total,48
46,2017,Under 1 year,Total,Total,Total,50
47,2017,Under 1 year,Total,Total,Total,56
48,2017,Under 1 year,Total,Total,Total,58
49,2017,Under 1 year,Total,Total,Total,39
50,2017,Under 1 year,Total,Total,Total,52
51,2017,Under 1 year,Total,Total,Total,23
0,2017,01-14,Total,Total,Total,18
1,2017,01-14,Total,Total,Total,18
2,2017,01-14,Total,Total,Total,19
3,2017,01-14,Total,Total,Total,16
4,2017,01-14,Total,Total,Total,14
5,2017,01-14,Total,Total,Total,17
6,2017,01-14,Total,Total,Total,18
7,2017,01-14,Total,Total,Total,20
8,2017,01-14,Total,Total,Total,22
9,2017,01-14,Total,Total,Total,17
