Year,Week,Start,End
2019,40,2019-10-05,2019-10-11
2019,41,2019-10-12,2019-10-18
2019,42,2019-10-19,2019-10-25
2019,43,2019-10-26,2019-11-01
2019,44,2019-11-02,2019-11-08
2019,45,2019-11-09,2019-11-15
2019,46,2019-11-16,2019-11-22
2019,47,2019-11-23,2019-11-29
2019,48,2019-11-30,2019-12-06
2019,49,2019-12-07,2019-12-13
2019,50,2019-12-14,2019-12-20
2019,51,2019-12-21,2019-12-27
2019,52,2019-12-28,2019-12-31
2020,0,2019-12-28,2020-01-03
2020,1,2020-01-04,2020-01-10
2020,2,2020-01-11,2020-01-17
2020,3,2020-01-18,2020-01-24
2020,4,2020-01-25,2020-01-31
2020,5,2020-02-01,2020-02-07
2020,6,2020-02-08,2020-02-14
2020,7,2020-02-15,2020-02-21
2020,8,2020-02-22,2020-02-28
2020,9,2020-02-29,2020-03-06
2020,10,2020-03-07,2020-03-13
2020,11,2020-03-14,2020-03-20
2020,12,2020-03-21,2020-03-27
2020,13,2020-03-28,2020-04-03
2020,14,2020-04-04,2020-04-10
2020,15,2020-04-11,2020-04-17
2020,16,2020-04-18,2020-04-24
2020,17,2020-04-25,2020-05-01
2020,18,2020-05-02,2020-05-08
2020,19,2020-05-09,2020-05-15
2020,20,2020-05-16,2020-05-22
2020,21,2020-05-23,2020-05-29
2020,22,2020-05-30,2020-06-05
2020,23,2020-06-06,2020-06-12
2020,24,2020-06-13,2020-06-19
2020,25,2020-06-20,2020-06-26
2020,26,2020-06-27,2020-07-03
2020,27,2020-07-04,2020-07-10
2020,28,2020-07-11,2020-07-17
2020,29,2020-07-18,2020-07-24
2020,30,2020-07-25,2020-07-31
2020,31,2020-08-01,2020-08-07
2020,32,2020-08-08,2020-08-14
2020,33,2020-08-15,2020-08-21
2020,34,2020-08-22,2020-08-28
2020,35,2020-08-29,2020-09-04
2020,36,2020-09-05,2020-09-11
2020,37,2020-09-12,2020-09-18
2020,38,2020-09-19,2020-09-25
2020,39,2020-09-26,2020-10-02
2020,40,2020-10-03,2020-10-09
2020,41,2020-10-10,2020-10-16
2020,42,2020-10-17,2020-10-23
2020,43,2020-10-24,2020-10-30
2020,44,2020-10-31,2020-11-06
2020,45,2020-11-07,2020-11-13
2020,46,2020-11-14,2020-11-20
2020,47,2020-11-21,2020-11-27
2020,48,2020-11-28,2020-12-04
2020,49,2020-12-05,2020-12-11
2020,50,2020-12-12,2020-12-18
2020,51,2020-12-19,2020-12-25
2020,52,2020-12-26,2020-12-31
