,Week,Year,Age,Condition,Region,Deaths
32,2017-08-18,2017,Under 1 year,Total,Total,50
33,2017-08-25,2017,Under 1 year,Total,Total,51
34,2017-09-01,2017,Under 1 year,Total,Total,45
35,2017-09-08,2017,Under 1 year,Total,Total,53
36,2017-09-15,2017,Under 1 year,Total,Total,48
37,2017-09-22,2017,Under 1 year,Total,Total,49
38,2017-09-29,2017,Under 1 year,Total,Total,45
39,2017-10-06,2017,Under 1 year,Total,Total,66
40,2017-10-13,2017,Under 1 year,Total,Total,48
41,2017-10-20,2017,Under 1 year,Total,Total,62
42,2017-10-27,2017,Under 1 year,Total,Total,54
43,2017-11-03,2017,Under 1 year,Total,Total,40
44,2017-11-10,2017,Under 1 year,Total,Total,47
45,2017-11-17,2017,Under 1 year,Total,Total,48
46,2017-11-24,2017,Under 1 year,Total,Total,50
47,2017-12-01,2017,Under 1 year,Total,Total,56
48,2017-12-08,2017,Under 1 year,Total,Total,58
49,2017-12-15,2017,Under 1 year,Total,Total,39
50,2017-12-22,2017,Under 1 year,Total,Total,52
51,2017-12-29,2017,Under 1 year,Total,Total,23
0,2017-01-06,2017,01-14,Total,Total,18
1,2017-01-13,2017,01-14,Total,Total,18
2,2017-01-20,2017,01-14,Total,Total,19
3,2017-01-27,2017,01-14,Total,Total,16
4,2017-02-03,2017,01-14,Total,Total,14
5,2017-02-10,2017,01-14,Total,Total,17
6,2017-02-17,2017,01-14,Total,Total,18
7,2017-02-24,2017,01-14,Total,Total,20
8,2017-03-03,2017,01-14,Total,Total,22
9,2017-03-10,2017,01-14,Total,Total,17
10,2017-03-17,2017,01-14,Total,Total,7
11,2017-03-24,2017,01-14,Total,Total,13
12,2017-03-31,2017,01-14,Total,Total,20
13,2017-04-07,2017,01-14,Total,Total,21
14,2017-04-14,2017,01-14,Total,Total,20
15,2017-04-21,2017,01-14,Total,Total,19
16,2017-04-28,2017,01-14,Total,Total,20
17,2017-05-05,2017,01-14,Total,Total,18
18,2017-05-12,2017,01-14,Total,Total,23
19,2017-05-19,2017,01-14,Total,Total,18
20,2017-05-26,2017,01-14,Total,Total,21
21,2017-06-02,2017,01-14,Total,Total,12
22,2017-06-09,2017,01-14,Total,Total,27
23,2017-06-16,2017,01-14,Total,Total,20
24,2017-06-23,2017,01-14,Total,Total,17
25,2017-06-30,2017,01-14,Total,Total,13
26,2017-07-07,2017,01-14,Total,Total,23
27,2017-07-14,2017,01-14,Total,Total,23
28,2017-07-21,2017,01-14,Total,Total,19
29,2017-07-28,2017,01-14,Total,Total,15
30,2017-08-04,2017,01-14,Total,Total,12
31,2017-08-11,2017,01-14,Total,Total,17
32,2017-08-18,2017,01-14,Total,Total,20
33,2017-08-25,2017,01-14,Total,Total,11
34,2017-09-01,2017,01-14,Total,Total,18
35,2017-09-08,2017,01-14,Total,Total,17
36,2017-09-15,2017,01-14,Total,Total,18
37,2017-09-22,2017,01-14,Total,Total,21
38,2017-09-29,2017,01-14,Total,Total,27
39,2017-10-06,2017,01-14,Total,Total,20
40,2017-10-13,2017,01-14,Total,Total,11
41,2017-10-20,2017,01-14,Total,Total,13
42,2017-10-27,2017,01-14,Total,Total,25
43,2017-11-03,2017,01-14,Total,Total,18
44,2017-11-10,2017,01-14,Total,Total,20
45,2017-11-17,2017,01-14,Total,Total,9
46,2017-11-24,2017,01-14,Total,Total,20
47,2017-12-01,2017,01-14,Total,Total,21
48,2017-12-08,2017,01-14,Total,Total,20
49,2017-12-15,2017,01-14,Total,Total,19
50,2017-12-22,2017,01-14,Total,Total,20
51,2017-12-29,2017,01-14,Total,Total,18
0,2017-01-06,2017,15-44,Total,Total,215
1,2017-01-13,2017,15-44,Total,Total,287
2,2017-01-20,2017,15-44,Total,Total,301
3,2017-01-27,2017,15-44,Total,Total,286
4,2017-02-03,2017,15-44,Total,Total,308
5,2017-02-10,2017,15-44,Total,Total,293
6,2017-02-17,2017,15-44,Total,Total,295
7,2017-02-24,2017,15-44,Total,Total,286
8,2017-03-03,2017,15-44,Total,Total,254
9,2017-03-10,2017,15-44,Total,Total,316
10,2017-03-17,2017,15-44,Total,Total,274
11,2017-03-24,2017,15-44,Total,Total,268
12,2017-03-31,2017,15-44,Total,Total,307
13,2017-04-07,2017,15-44,Total,Total,277
14,2017-04-14,2017,15-44,Total,Total,235
15,2017-04-21,2017,15-44,Total,Total,280
16,2017-04-28,2017,15-44,Total,Total,273
17,2017-05-05,2017,15-44,Total,Total,268
18,2017-05-12,2017,15-44,Total,Total,323
19,2017-05-19,2017,15-44,Total,Total,291
20,2017-05-26,2017,15-44,Total,Total,307
21,2017-06-02,2017,15-44,Total,Total,223
22,2017-06-09,2017,15-44,Total,Total,308
23,2017-06-16,2017,15-44,Total,Total,259
24,2017-06-23,2017,15-44,Total,Total,300
25,2017-06-30,2017,15-44,Total,Total,275
26,2017-07-07,2017,15-44,Total,Total,293
27,2017-07-14,2017,15-44,Total,Total,270
28,2017-07-21,2017,15-44,Total,Total,331
29,2017-07-28,2017,15-44,Total,Total,280
30,2017-08-04,2017,15-44,Total,Total,269
31,2017-08-11,2017,15-44,Total,Total,257
32,2017-08-18,2017,15-44,Total,Total,293
33,2017-08-25,2017,15-44,Total,Total,286
34,2017-09-01,2017,15-44,Total,Total,211
35,2017-09-08,2017,15-44,Total,Total,273
36,2017-09-15,2017,15-44,Total,Total,277
37,2017-09-22,2017,15-44,Total,Total,294
38,2017-09-29,2017,15-44,Total,Total,243
39,2017-10-06,2017,15-44,Total,Total,284
40,2017-10-13,2017,15-44,Total,Total,245
41,2017-10-20,2017,15-44,Total,Total,293
42,2017-10-27,2017,15-44,Total,Total,269
43,2017-11-03,2017,15-44,Total,Total,288
44,2017-11-10,2017,15-44,Total,Total,322
45,2017-11-17,2017,15-44,Total,Total,308
46,2017-11-24,2017,15-44,Total,Total,310
47,2017-12-01,2017,15-44,Total,Total,295
48,2017-12-08,2017,15-44,Total,Total,268
49,2017-12-15,2017,15-44,Total,Total,267
50,2017-12-22,2017,15-44,Total,Total,307
51,2017-12-29,2017,15-44,Total,Total,172
0,2017-01-06,2017,45-64,Total,Total,1232
1,2017-01-13,2017,45-64,Total,Total,1372
2,2017-01-20,2017,45-64,Total,Total,1374
3,2017-01-27,2017,45-64,Total,Total,1273
4,2017-02-03,2017,45-64,Total,Total,1239
5,2017-02-10,2017,45-64,Total,Total,1342
6,2017-02-17,2017,45-64,Total,Total,1316
7,2017-02-24,2017,45-64,Total,Total,1298
8,2017-03-03,2017,45-64,Total,Total,1252
9,2017-03-10,2017,45-64,Total,Total,1240
10,2017-03-17,2017,45-64,Total,Total,1260
11,2017-03-24,2017,45-64,Total,Total,1256
12,2017-03-31,2017,45-64,Total,Total,1202
13,2017-04-07,2017,45-64,Total,Total,1181
14,2017-04-14,2017,45-64,Total,Total,1003
15,2017-04-21,2017,45-64,Total,Total,1130
16,2017-04-28,2017,45-64,Total,Total,1315
17,2017-05-05,2017,45-64,Total,Total,1035
18,2017-05-12,2017,45-64,Total,Total,1275
19,2017-05-19,2017,45-64,Total,Total,1320
20,2017-05-26,2017,45-64,Total,Total,1187
21,2017-06-02,2017,45-64,Total,Total,995
22,2017-06-09,2017,45-64,Total,Total,1227
23,2017-06-16,2017,45-64,Total,Total,1188
24,2017-06-23,2017,45-64,Total,Total,1175
25,2017-06-30,2017,45-64,Total,Total,1121
26,2017-07-07,2017,45-64,Total,Total,1202
27,2017-07-14,2017,45-64,Total,Total,1144
28,2017-07-21,2017,45-64,Total,Total,1210
29,2017-07-28,2017,45-64,Total,Total,1184
30,2017-08-04,2017,45-64,Total,Total,1131
31,2017-08-11,2017,45-64,Total,Total,1141
32,2017-08-18,2017,45-64,Total,Total,1146
33,2017-08-25,2017,45-64,Total,Total,1095
34,2017-09-01,2017,45-64,Total,Total,997
35,2017-09-08,2017,45-64,Total,Total,1190
36,2017-09-15,2017,45-64,Total,Total,1207
37,2017-09-22,2017,45-64,Total,Total,1157
38,2017-09-29,2017,45-64,Total,Total,1160
39,2017-10-06,2017,45-64,Total,Total,1171
40,2017-10-13,2017,45-64,Total,Total,1185
41,2017-10-20,2017,45-64,Total,Total,1165
42,2017-10-27,2017,45-64,Total,Total,1166
43,2017-11-03,2017,45-64,Total,Total,1243
44,2017-11-10,2017,45-64,Total,Total,1251
45,2017-11-17,2017,45-64,Total,Total,1242
46,2017-11-24,2017,45-64,Total,Total,1308
47,2017-12-01,2017,45-64,Total,Total,1216
48,2017-12-08,2017,45-64,Total,Total,1224
49,2017-12-15,2017,45-64,Total,Total,1282
50,2017-12-22,2017,45-64,Total,Total,1397
51,2017-12-29,2017,45-64,Total,Total,895
0,2017-01-06,2017,65-74,Total,Total,1880
1,2017-01-13,2017,65-74,Total,Total,2149
2,2017-01-20,2017,65-74,Total,Total,2132
3,2017-01-27,2017,65-74,Total,Total,1946
4,2017-02-03,2017,65-74,Total,Total,1930
5,2017-02-10,2017,65-74,Total,Total,1940
6,2017-02-17,2017,65-74,Total,Total,1811
7,2017-02-24,2017,65-74,Total,Total,1816
8,2017-03-03,2017,65-74,Total,Total,1823
9,2017-03-10,2017,65-74,Total,Total,1756
10,2017-03-17,2017,65-74,Total,Total,1722
11,2017-03-24,2017,65-74,Total,Total,1739
12,2017-03-31,2017,65-74,Total,Total,1656
13,2017-04-07,2017,65-74,Total,Total,1705
14,2017-04-14,2017,65-74,Total,Total,1468
15,2017-04-21,2017,65-74,Total,Total,1585
16,2017-04-28,2017,65-74,Total,Total,1822
17,2017-05-05,2017,65-74,Total,Total,1529
18,2017-05-12,2017,65-74,Total,Total,1813
19,2017-05-19,2017,65-74,Total,Total,1794
20,2017-05-26,2017,65-74,Total,Total,1722
21,2017-06-02,2017,65-74,Total,Total,1475
22,2017-06-09,2017,65-74,Total,Total,1632
23,2017-06-16,2017,65-74,Total,Total,1663
24,2017-06-23,2017,65-74,Total,Total,1570
25,2017-06-30,2017,65-74,Total,Total,1656
26,2017-07-07,2017,65-74,Total,Total,1622
27,2017-07-14,2017,65-74,Total,Total,1660
28,2017-07-21,2017,65-74,Total,Total,1541
29,2017-07-28,2017,65-74,Total,Total,1539
30,2017-08-04,2017,65-74,Total,Total,1510
31,2017-08-11,2017,65-74,Total,Total,1580
32,2017-08-18,2017,65-74,Total,Total,1568
33,2017-08-25,2017,65-74,Total,Total,1549
34,2017-09-01,2017,65-74,Total,Total,1448
35,2017-09-08,2017,65-74,Total,Total,1613
36,2017-09-15,2017,65-74,Total,Total,1641
37,2017-09-22,2017,65-74,Total,Total,1614
38,2017-09-29,2017,65-74,Total,Total,1686
39,2017-10-06,2017,65-74,Total,Total,1677
40,2017-10-13,2017,65-74,Total,Total,1678
41,2017-10-20,2017,65-74,Total,Total,1731
42,2017-10-27,2017,65-74,Total,Total,1658
43,2017-11-03,2017,65-74,Total,Total,1659
44,2017-11-10,2017,65-74,Total,Total,1734
45,2017-11-17,2017,65-74,Total,Total,1682
46,2017-11-24,2017,65-74,Total,Total,1728
47,2017-12-01,2017,65-74,Total,Total,1737
48,2017-12-08,2017,65-74,Total,Total,1761
49,2017-12-15,2017,65-74,Total,Total,1776
50,2017-12-22,2017,65-74,Total,Total,1995
51,2017-12-29,2017,65-74,Total,Total,1275
0,2017-01-06,2017,75-84,Total,Total,3450
1,2017-01-13,2017,75-84,Total,Total,3886
2,2017-01-20,2017,75-84,Total,Total,3701
3,2017-01-27,2017,75-84,Total,Total,3652
4,2017-02-03,2017,75-84,Total,Total,3509
5,2017-02-10,2017,75-84,Total,Total,3483
6,2017-02-17,2017,75-84,Total,Total,3242
7,2017-02-24,2017,75-84,Total,Total,3214
8,2017-03-03,2017,75-84,Total,Total,3142
9,2017-03-10,2017,75-84,Total,Total,3086
10,2017-03-17,2017,75-84,Total,Total,3015
11,2017-03-24,2017,75-84,Total,Total,2940
12,2017-03-31,2017,75-84,Total,Total,2838
13,2017-04-07,2017,75-84,Total,Total,2748
14,2017-04-14,2017,75-84,Total,Total,2397
15,2017-04-21,2017,75-84,Total,Total,2834
16,2017-04-28,2017,75-84,Total,Total,3132
17,2017-05-05,2017,75-84,Total,Total,2557
18,2017-05-12,2017,75-84,Total,Total,3019
19,2017-05-19,2017,75-84,Total,Total,2854
20,2017-05-26,2017,75-84,Total,Total,2744
21,2017-06-02,2017,75-84,Total,Total,2361
22,2017-06-09,2017,75-84,Total,Total,2785
23,2017-06-16,2017,75-84,Total,Total,2554
24,2017-06-23,2017,75-84,Total,Total,2715
25,2017-06-30,2017,75-84,Total,Total,2676
26,2017-07-07,2017,75-84,Total,Total,2584
27,2017-07-14,2017,75-84,Total,Total,2694
28,2017-07-21,2017,75-84,Total,Total,2531
29,2017-07-28,2017,75-84,Total,Total,2439
30,2017-08-04,2017,75-84,Total,Total,2542
31,2017-08-11,2017,75-84,Total,Total,2620
32,2017-08-18,2017,75-84,Total,Total,2601
33,2017-08-25,2017,75-84,Total,Total,2667
34,2017-09-01,2017,75-84,Total,Total,2279
35,2017-09-08,2017,75-84,Total,Total,2644
36,2017-09-15,2017,75-84,Total,Total,2628
37,2017-09-22,2017,75-84,Total,Total,2623
38,2017-09-29,2017,75-84,Total,Total,2698
39,2017-10-06,2017,75-84,Total,Total,2677
40,2017-10-13,2017,75-84,Total,Total,2846
41,2017-10-20,2017,75-84,Total,Total,2836
42,2017-10-27,2017,75-84,Total,Total,2765
43,2017-11-03,2017,75-84,Total,Total,2875
44,2017-11-10,2017,75-84,Total,Total,2889
45,2017-11-17,2017,75-84,Total,Total,2901
46,2017-11-24,2017,75-84,Total,Total,2962
47,2017-12-01,2017,75-84,Total,Total,2945
48,2017-12-08,2017,75-84,Total,Total,3027
49,2017-12-15,2017,75-84,Total,Total,3176
50,2017-12-22,2017,75-84,Total,Total,3523
51,2017-12-29,2017,75-84,Total,Total,2444
0,2017-01-06,2017,85+,Total,Total,5136
1,2017-01-13,2017,85+,Total,Total,5947
2,2017-01-20,2017,85+,Total,Total,6029
3,2017-01-27,2017,85+,Total,Total,5652
4,2017-02-03,2017,85+,Total,Total,5430
5,2017-02-10,2017,85+,Total,Total,5129
6,2017-02-17,2017,85+,Total,Total,4913
7,2017-02-24,2017,85+,Total,Total,5112
8,2017-03-03,2017,85+,Total,Total,4699
9,2017-03-10,2017,85+,Total,Total,4608
10,2017-03-17,2017,85+,Total,Total,4360
11,2017-03-24,2017,85+,Total,Total,4054
12,2017-03-31,2017,85+,Total,Total,3939
13,2017-04-07,2017,85+,Total,Total,3947
14,2017-04-14,2017,85+,Total,Total,3330
15,2017-04-21,2017,85+,Total,Total,3721
16,2017-04-28,2017,85+,Total,Total,4276
17,2017-05-05,2017,85+,Total,Total,3613
18,2017-05-12,2017,85+,Total,Total,4196
19,2017-05-19,2017,85+,Total,Total,3973
20,2017-05-26,2017,85+,Total,Total,3983
21,2017-06-02,2017,85+,Total,Total,3217
22,2017-06-09,2017,85+,Total,Total,3727
23,2017-06-16,2017,85+,Total,Total,3619
24,2017-06-23,2017,85+,Total,Total,3785
25,2017-06-30,2017,85+,Total,Total,3536
26,2017-07-07,2017,85+,Total,Total,3477
27,2017-07-14,2017,85+,Total,Total,3528
28,2017-07-21,2017,85+,Total,Total,3415
29,2017-07-28,2017,85+,Total,Total,3388
30,2017-08-04,2017,85+,Total,Total,3427
31,2017-08-11,2017,85+,Total,Total,3368
32,2017-08-18,2017,85+,Total,Total,3617
33,2017-08-25,2017,85+,Total,Total,3723
34,2017-09-01,2017,85+,Total,Total,3148
35,2017-09-08,2017,85+,Total,Total,3703
36,2017-09-15,2017,85+,Total,Total,3634
37,2017-09-22,2017,85+,Total,Total,3776
38,2017-09-29,2017,85+,Total,Total,3830
39,2017-10-06,2017,85+,Total,Total,3881
40,2017-10-13,2017,85+,Total,Total,3926
41,2017-10-20,2017,85+,Total,Total,3929
42,2017-10-27,2017,85+,Total,Total,3802
43,2017-11-03,2017,85+,Total,Total,3860
44,2017-11-10,2017,85+,Total,Total,4081
45,2017-11-17,2017,85+,Total,Total,4084
46,2017-11-24,2017,85+,Total,Total,4234
47,2017-12-01,2017,85+,Total,Total,4266
48,2017-12-08,2017,85+,Total,Total,4423
49,2017-12-15,2017,85+,Total,Total,4658
50,2017-12-22,2017,85+,Total,Total,5220
51,2017-12-29,2017,85+,Total,Total,3654
0,2017-01-06,2017,Under 1 year,Total,Total,32
1,2017-01-13,2017,Under 1 year,Total,Total,33
2,2017-01-20,2017,Under 1 year,Total,Total,28
3,2017-01-27,2017,Under 1 year,Total,Total,28
4,2017-02-03,2017,Under 1 year,Total,Total,27
5,2017-02-10,2017,Under 1 year,Total,Total,29
6,2017-02-17,2017,Under 1 year,Total,Total,33
7,2017-02-24,2017,Under 1 year,Total,Total,26
8,2017-03-03,2017,Under 1 year,Total,Total,32
9,2017-03-10,2017,Under 1 year,Total,Total,29
10,2017-03-17,2017,Under 1 year,Total,Total,38
11,2017-03-24,2017,Under 1 year,Total,Total,27
12,2017-03-31,2017,Under 1 year,Total,Total,32
13,2017-04-07,2017,Under 1 year,Total,Total,35
14,2017-04-14,2017,Under 1 year,Total,Total,20
15,2017-04-21,2017,Under 1 year,Total,Total,39
16,2017-04-28,2017,Under 1 year,Total,Total,41
17,2017-05-05,2017,Under 1 year,Total,Total,25
18,2017-05-12,2017,Under 1 year,Total,Total,22
19,2017-05-19,2017,Under 1 year,Total,Total,20
20,2017-05-26,2017,Under 1 year,Total,Total,40
21,2017-06-02,2017,Under 1 year,Total,Total,29
22,2017-06-09,2017,Under 1 year,Total,Total,37
23,2017-06-16,2017,Under 1 year,Total,Total,30
24,2017-06-23,2017,Under 1 year,Total,Total,36
25,2017-06-30,2017,Under 1 year,Total,Total,36
26,2017-07-07,2017,Under 1 year,Total,Total,33
27,2017-07-14,2017,Under 1 year,Total,Total,30
28,2017-07-21,2017,Under 1 year,Total,Total,31
29,2017-07-28,2017,Under 1 year,Total,Total,20
30,2017-08-04,2017,Under 1 year,Total,Total,27
31,2017-08-11,2017,Under 1 year,Total,Total,26
32,2017-08-18,2017,Under 1 year,Total,Total,27
33,2017-08-25,2017,Under 1 year,Total,Total,29
34,2017-09-01,2017,Under 1 year,Total,Total,26
35,2017-09-08,2017,Under 1 year,Total,Total,34
36,2017-09-15,2017,Under 1 year,Total,Total,23
37,2017-09-22,2017,Under 1 year,Total,Total,29
38,2017-09-29,2017,Under 1 year,Total,Total,21
39,2017-10-06,2017,Under 1 year,Total,Total,38
40,2017-10-13,2017,Under 1 year,Total,Total,27
41,2017-10-20,2017,Under 1 year,Total,Total,30
42,2017-10-27,2017,Under 1 year,Total,Total,34
43,2017-11-03,2017,Under 1 year,Total,Total,30
44,2017-11-10,2017,Under 1 year,Total,Total,26
45,2017-11-17,2017,Under 1 year,Total,Total,26
46,2017-11-24,2017,Under 1 year,Total,Total,24
47,2017-12-01,2017,Under 1 year,Total,Total,33
48,2017-12-08,2017,Under 1 year,Total,Total,38
49,2017-12-15,2017,Under 1 year,Total,Total,23
50,2017-12-22,2017,Under 1 year,Total,Total,25
51,2017-12-29,2017,Under 1 year,Total,Total,15
0,2017-01-06,2017,01-14,Total,Total,9
1,2017-01-13,2017,01-14,Total,Total,10
2,2017-01-20,2017,01-14,Total,Total,10
3,2017-01-27,2017,01-14,Total,Total,7
4,2017-02-03,2017,01-14,Total,Total,8
5,2017-02-10,2017,01-14,Total,Total,9
6,2017-02-17,2017,01-14,Total,Total,10
7,2017-02-24,2017,01-14,Total,Total,8
8,2017-03-03,2017,01-14,Total,Total,14
9,2017-03-10,2017,01-14,Total,Total,5
10,2017-03-17,2017,01-14,Total,Total,4
11,2017-03-24,2017,01-14,Total,Total,7
12,2017-03-31,2017,01-14,Total,Total,12
13,2017-04-07,2017,01-14,Total,Total,8
14,2017-04-14,2017,01-14,Total,Total,8
15,2017-04-21,2017,01-14,Total,Total,13
16,2017-04-28,2017,01-14,Total,Total,10
17,2017-05-05,2017,01-14,Total,Total,11
18,2017-05-12,2017,01-14,Total,Total,11
19,2017-05-19,2017,01-14,Total,Total,10
20,2017-05-26,2017,01-14,Total,Total,10
21,2017-06-02,2017,01-14,Total,Total,9
22,2017-06-09,2017,01-14,Total,Total,20
23,2017-06-16,2017,01-14,Total,Total,12
24,2017-06-23,2017,01-14,Total,Total,12
25,2017-06-30,2017,01-14,Total,Total,7
26,2017-07-07,2017,01-14,Total,Total,15
27,2017-07-14,2017,01-14,Total,Total,11
28,2017-07-21,2017,01-14,Total,Total,12
29,2017-07-28,2017,01-14,Total,Total,10
30,2017-08-04,2017,01-14,Total,Total,6
31,2017-08-11,2017,01-14,Total,Total,8
32,2017-08-18,2017,01-14,Total,Total,11
33,2017-08-25,2017,01-14,Total,Total,9
34,2017-09-01,2017,01-14,Total,Total,6
