,Week,Year,Age,Condition,Region,Deaths
0,2017-01-06,2020,Total,Total,Total,11991
1,2017-01-13,2020,Total,Total,Total,13715
2,2017-01-20,2020,Total,Total,Total,13610
3,2017-01-27,2020,Total,Total,Total,12877
4,2017-02-03,2020,Total,Total,Total,12485
5,2017-02-10,2020,Total,Total,Total,12269
6,2017-02-17,2020,Total,Total,Total,11644
7,2017-02-24,2020,Total,Total,Total,11794
8,2017-03-03,2020,Total,Total,Total,11248
9,2017-03-10,2020,Total,Total,Total,11077
10,2017-03-17,2020,Total,Total,Total,10697
11,2017-03-24,2020,Total,Total,Total,10325
12,2017-03-31,2020,Total,Total,Total,10027
13,2017-04-07,2020,Total,Total,Total,9939
14,2017-04-14,2020,Total,Total,Total,8493
15,2017-04-21,2020,Total,Total,Total,9644
16,2017-04-28,2020,Total,Total,Total,10908
17,2017-05-05,2020,Total,Total,Total,9064
18,2017-05-12,2020,Total,Total,Total,10693
19,2017-05-19,2020,Total,Total,Total,10288
20,2017-05-26,2020,Total,Total,Total,10040
21,2017-06-02,2020,Total,Total,Total,8332
22,2017-06-09,2020,Total,Total,Total,9766
23,2017-06-16,2020,Total,Total,Total,9367
24,2017-06-23,2020,Total,Total,Total,9627
25,2017-06-30,2020,Total,Total,Total,9334
26,2017-07-07,2020,Total,Total,Total,9263
27,2017-07-14,2020,Total,Total,Total,9376
28,2017-07-21,2020,Total,Total,Total,9113
29,2017-07-28,2020,Total,Total,Total,8882
30,2017-08-04,2020,Total,Total,Total,8941
31,2017-08-11,2020,Total,Total,Total,9038
32,2017-08-18,2020,Total,Total,Total,9299
33,2017-08-25,2020,Total,Total,Total,9382
34,2017-09-01,2020,Total,Total,Total,8149
35,2017-09-08,2020,Total,Total,Total,9497
36,2017-09-15,2020,Total,Total,Total,9454
37,2017-09-22,2020,Total,Total,Total,9534
38,2017-09-29,2020,Total,Total,Total,9689
39,2017-10-06,2020,Total,Total,Total,9778
40,2017-10-13,2020,Total,Total,Total,9940
41,2017-10-20,2020,Total,Total,Total,10031
42,2017-10-27,2020,Total,Total,Total,9739
43,2017-11-03,2020,Total,Total,Total,9984
44,2017-11-10,2020,Total,Total,Total,10346
45,2017-11-17,2020,Total,Total,Total,10275
46,2017-11-24,2020,Total,Total,Total,10621
47,2017-12-01,2020,Total,Total,Total,10538
48,2017-12-08,2020,Total,Total,Total,10781
49,2017-12-15,2020,Total,Total,Total,11217
50,2017-12-22,2020,Total,Total,Total,12517
51,2017-12-29,2020,Total,Total,Total,8487
52,2017-01-06,2020,Total,Respiratory,Total,2321
53,2017-01-13,2020,Total,Respiratory,Total,2690
54,2017-01-20,2020,Total,Respiratory,Total,2625
55,2017-01-27,2020,Total,Respiratory,Total,2373
56,2017-02-03,2020,Total,Respiratory,Total,2147
57,2017-02-10,2020,Total,Respiratory,Total,2093
58,2017-02-17,2020,Total,Respiratory,Total,1932
59,2017-02-24,2020,Total,Respiratory,Total,1872
60,2017-03-03,2020,Total,Respiratory,Total,1766
61,2017-03-10,2020,Total,Respiratory,Total,1660
62,2017-03-17,2020,Total,Respiratory,Total,1561
63,2017-03-24,2020,Total,Respiratory,Total,1436
64,2017-03-31,2020,Total,Respiratory,Total,1324
65,2017-04-07,2020,Total,Respiratory,Total,1378
66,2017-04-14,2020,Total,Respiratory,Total,1143
67,2017-04-21,2020,Total,Respiratory,Total,1311
68,2017-04-28,2020,Total,Respiratory,Total,1435
69,2017-05-05,2020,Total,Respiratory,Total,1154
70,2017-05-12,2020,Total,Respiratory,Total,1423
71,2017-05-19,2020,Total,Respiratory,Total,1325
72,2017-05-26,2020,Total,Respiratory,Total,1286
73,2017-06-02,2020,Total,Respiratory,Total,1076
74,2017-06-09,2020,Total,Respiratory,Total,1229
75,2017-06-16,2020,Total,Respiratory,Total,1062
76,2017-06-23,2020,Total,Respiratory,Total,1215
77,2017-06-30,2020,Total,Respiratory,Total,1170
78,2017-07-07,2020,Total,Respiratory,Total,1012
79,2017-07-14,2020,Total,Respiratory,Total,1141
80,2017-07-21,2020,Total,Respiratory,Total,959
81,2017-07-28,2020,Total,Respiratory,Total,1004
82,2017-08-04,2020,Total,Respiratory,Total,1009
83,2017-08-11,2020,Total,Respiratory,Total,937
84,2017-08-18,2020,Total,Respiratory,Total,1081
85,2017-08-25,2020,Total,Respiratory,Total,1121
86,2017-09-01,2020,Total,Respiratory,Total,940
87,2017-09-08,2020,Total,Respiratory,Total,1058
88,2017-09-15,2020,Total,Respiratory,Total,1022
89,2017-09-22,2020,Total,Respiratory,Total,1088
90,2017-09-29,2020,Total,Respiratory,Total,1153
91,2017-10-06,2020,Total,Respiratory,Total,1208
92,2017-10-13,2020,Total,Respiratory,Total,1219
93,2017-10-20,2020,Total,Respiratory,Total,1199
94,2017-10-27,2020,Total,Respiratory,Total,1144
95,2017-11-03,2020,Total,Respiratory,Total,1244
96,2017-11-10,2020,Total,Respiratory,Total,1314
97,2017-11-17,2020,Total,Respiratory,Total,1362
98,2017-11-24,2020,Total,Respiratory,Total,1319
99,2017-12-01,2020,Total,Respiratory,Total,1436
100,2017-12-08,2020,Total,Respiratory,Total,1497
101,2017-12-15,2020,Total,Respiratory,Total,1603
102,2017-12-22,2020,Total,Respiratory,Total,1905
103,2017-12-29,2020,Total,Respiratory,Total,1431
0,2017-01-06,2017,Under 1 year,Total,Total,58
1,2017-01-13,2017,Under 1 year,Total,Total,56
2,2017-01-20,2017,Under 1 year,Total,Total,54
3,2017-01-27,2017,Under 1 year,Total,Total,52
4,2017-02-03,2017,Under 1 year,Total,Total,55
5,2017-02-10,2017,Under 1 year,Total,Total,57
6,2017-02-17,2017,Under 1 year,Total,Total,49
7,2017-02-24,2017,Under 1 year,Total,Total,47
8,2017-03-03,2017,Under 1 year,Total,Total,53
9,2017-03-10,2017,Under 1 year,Total,Total,54
10,2017-03-17,2017,Under 1 year,Total,Total,59
11,2017-03-24,2017,Under 1 year,Total,Total,55
12,2017-03-31,2017,Under 1 year,Total,Total,65
13,2017-04-07,2017,Under 1 year,Total,Total,59
14,2017-04-14,2017,Under 1 year,Total,Total,38
15,2017-04-21,2017,Under 1 year,Total,Total,68
16,2017-04-28,2017,Under 1 year,Total,Total,70
17,2017-05-05,2017,Under 1 year,Total,Total,44
18,2017-05-12,2017,Under 1 year,Total,Total,41
19,2017-05-19,2017,Under 1 year,Total,Total,38
20,2017-05-26,2017,Under 1 year,Total,Total,71
21,2017-06-02,2017,Under 1 year,Total,Total,49
22,2017-06-09,2017,Under 1 year,Total,Total,57
23,2017-06-16,2017,Under 1 year,Total,Total,60
24,2017-06-23,2017,Under 1 year,Total,Total,65
25,2017-06-30,2017,Under 1 year,Total,Total,54
26,2017-07-07,2017,Under 1 year,Total,Total,60
27,2017-07-14,2017,Under 1 year,Total,Total,56
28,2017-07-21,2017,Under 1 year,Total,Total,64
29,2017-07-28,2017,Under 1 year,Total,Total,37
30,2017-08-04,2017,Under 1 year,Total,Total,47
31,2017-08-11,2017,Under 1 year,Total,Total,55
