,Week,Year,Age,Condition,Region,Deaths
0,2020-01-03,2020,Total,Total,Total,12254
1,2020-01-10,2020,Total,Total,Total,14058
2,2020-01-17,2020,Total,Total,Total,12990
3,2020-01-24,2020,Total,Total,Total,11856
4,2020-01-31,2020,Total,Total,Total,11612
5,2020-02-07,2020,Total,Total,Total,10986
6,2020-02-14,2020,Total,Total,Total,10944
7,2020-02-21,2020,Total,Total,Total,10841
8,2020-02-28,2020,Total,Total,Total,10816
9,2020-03-06,2020,Total,Total,Total,10895
10,2020-03-13,2020,Total,Total,Total,11019
11,2020-03-20,2020,Total,Total,Total,10645
12,2020-03-27,2020,Total,Total,Total,11141
13,2020-01-03,2020,Total,Respiratory,Total,2141
14,2020-01-10,2020,Total,Respiratory,Total,2477
15,2020-01-17,2020,Total,Respiratory,Total,2188
16,2020-01-24,2020,Total,Respiratory,Total,1893
17,2020-01-31,2020,Total,Respiratory,Total,1746
18,2020-02-07,2020,Total,Respiratory,Total,1572
19,2020-02-14,2020,Total,Respiratory,Total,1602
20,2020-02-21,2020,Total,Respiratory,Total,1619
21,2020-02-28,2020,Total,Respiratory,Total,1546
22,2020-03-06,2020,Total,Respiratory,Total,1557
23,2020-03-13,2020,Total,Respiratory,Total,1488
24,2020-03-20,2020,Total,Respiratory,Total,1514
25,2020-03-27,2020,Total,Respiratory,Total,1534
0,2020-01-03,2020,Under 1 year,Total,Total,48
1,2020-01-10,2020,Under 1 year,Total,Total,50
2,2020-01-17,2020,Under 1 year,Total,Total,69
3,2020-01-24,2020,Under 1 year,Total,Total,53
4,2020-01-31,2020,Under 1 year,Total,Total,50
5,2020-02-07,2020,Under 1 year,Total,Total,31
6,2020-02-14,2020,Under 1 year,Total,Total,43
7,2020-02-21,2020,Under 1 year,Total,Total,51
8,2020-02-28,2020,Under 1 year,Total,Total,49
9,2020-03-06,2020,Under 1 year,Total,Total,56
10,2020-03-13,2020,Under 1 year,Total,Total,53
11,2020-03-20,2020,Under 1 year,Total,Total,44
12,2020-03-27,2020,Under 1 year,Total,Total,49
0,2020-01-03,2020,01-14,Total,Total,16
1,2020-01-10,2020,01-14,Total,Total,26
2,2020-01-17,2020,01-14,Total,Total,15
3,2020-01-24,2020,01-14,Total,Total,21
4,2020-01-31,2020,01-14,Total,Total,15
5,2020-02-07,2020,01-14,Total,Total,16
6,2020-02-14,2020,01-14,Total,Total,12
7,2020-02-21,2020,01-14,Total,Total,18
8,2020-02-28,2020,01-14,Total,Total,20
9,2020-03-06,2020,01-14,Total,Total,20
10,2020-03-13,2020,01-14,Total,Total,22
11,2020-03-20,2020,01-14,Total,Total,12
12,2020-03-27,2020,01-14,Total,Total,13
0,2020-01-03,2020,15-44,Total,Total,189
1,2020-01-10,2020,15-44,Total,Total,275
2,2020-01-17,2020,15-44,Total,Total,313
3,2020-01-24,2020,15-44,Total,Total,314
4,2020-01-31,2020,15-44,Total,Total,308
5,2020-02-07,2020,15-44,Total,Total,271
6,2020-02-14,2020,15-44,Total,Total,284
7,2020-02-21,2020,15-44,Total,Total,321
8,2020-02-28,2020,15-44,Total,Total,314
9,2020-03-06,2020,15-44,Total,Total,313
10,2020-03-13,2020,15-44,Total,Total,311
11,2020-03-20,2020,15-44,Total,Total,275
12,2020-03-27,2020,15-44,Total,Total,282
0,2020-01-03,2020,45-64,Total,Total,1202
1,2020-01-10,2020,45-64,Total,Total,1500
2,2020-01-17,2020,45-64,Total,Total,1517
3,2020-01-24,2020,45-64,Total,Total,1357
4,2020-01-31,2020,45-64,Total,Total,1349
5,2020-02-07,2020,45-64,Total,Total,1331
6,2020-02-14,2020,45-64,Total,Total,1289
7,2020-02-21,2020,45-64,Total,Total,1271
8,2020-02-28,2020,45-64,Total,Total,1257
9,2020-03-06,2020,45-64,Total,Total,1252
10,2020-03-13,2020,45-64,Total,Total,1341
11,2020-03-20,2020,45-64,Total,Total,1263
12,2020-03-27,2020,45-64,Total,Total,1301
