,Week,Year,Age,Condition,Region,Deaths
0,2020-01-03,2020,65-74,Total,Total,1860
1,2020-01-10,2020,65-74,Total,Total,2198
2,2020-01-17,2020,65-74,Total,Total,2013
3,2020-01-24,2020,65-74,Total,Total,1958
4,2020-01-31,2020,65-74,Total,Total,1927
5,2020-02-07,2020,65-74,Total,Total,1808
6,2020-02-14,2020,65-74,Total,Total,1753
7,2020-02-21,2020,65-74,Total,Total,1744
8,2020-02-28,2020,65-74,Total,Total,1795
9,2020-03-06,2020,65-74,Total,Total,1769
10,2020-03-13,2020,65-74,Total,Total,1754
11,2020-03-20,2020,65-74,Total,Total,1780
12,2020-03-27,2020,65-74,Total,Total,1805
0,2020-01-03,2020,75-84,Total,Total,3583
1,2020-01-10,2020,75-84,Total,Total,4014
2,2020-01-17,2020,75-84,Total,Total,3715
3,2020-01-24,2020,75-84,Total,Total,3337
4,2020-01-31,2020,75-84,Total,Total,3257
5,2020-02-07,2020,75-84,Total,Total,3056
6,2020-02-14,2020,75-84,Total,Total,3008
7,2020-02-21,2020,75-84,Total,Total,3032
8,2020-02-28,2020,75-84,Total,Total,2967
9,2020-03-06,2020,75-84,Total,Total,3124
10,2020-03-13,2020,75-84,Total,Total,3104
11,2020-03-20,2020,75-84,Total,Total,3066
12,2020-03-27,2020,75-84,Total,Total,3247
0,2020-01-03,2020,85+,Total,Total,5356
1,2020-01-10,2020,85+,Total,Total,5995
2,2020-01-17,2020,85+,Total,Total,5348
3,2020-01-24,2020,85+,Total,Total,4816
4,2020-01-31,2020,85+,Total,Total,4706
5,2020-02-07,2020,85+,Total,Total,4473
6,2020-02-14,2020,85+,Total,Total,4555
7,2020-02-21,2020,85+,Total,Total,4404
8,2020-02-28,2020,85+,Total,Total,4414
9,2020-03-06,2020,85+,Total,Total,4361
10,2020-03-13,2020,85+,Total,Total,4434
11,2020-03-20,2020,85+,Total,Total,4205
12,2020-03-27,2020,85+,Total,Total,4444
0,2020-01-03,2020,Under 1 year,Total,Total,30
1,2020-01-10,2020,Under 1 year,Total,Total,29
2,2020-01-17,2020,Under 1 year,Total,Total,38
3,2020-01-24,2020,Under 1 year,Total,Total,28
4,2020-01-31,2020,Under 1 year,Total,Total,22
5,2020-02-07,2020,Under 1 year,Total,Total,14
6,2020-02-14,2020,Under 1 year,Total,Total,29
7,2020-02-21,2020,Under 1 year,Total,Total,32
8,2020-02-28,2020,Under 1 year,Total,Total,30
9,2020-03-06,2020,Under 1 year,Total,Total,31
10,2020-03-13,2020,Under 1 year,Total,Total,24
11,2020-03-20,2020,Under 1 year,Total,Total,25
12,2020-03-27,2020,Under 1 year,Total,Total,27
0,2020-01-03,2020,01-14,Total,Total,8
1,2020-01-10,2020,01-14,Total,Total,15
2,2020-01-17,2020,01-14,Total,Total,10
3,2020-01-24,2020,01-14,Total,Total,14
4,2020-01-31,2020,01-14,Total,Total,11
5,2020-02-07,2020,01-14,Total,Total,11
6,2020-02-14,2020,01-14,Total,Total,8
7,2020-02-21,2020,01-14,Total,Total,11
8,2020-02-28,2020,01-14,Total,Total,15
9,2020-03-06,2020,01-14,Total,Total,10
10,2020-03-13,2020,01-14,Total,Total,8
11,2020-03-20,2020,01-14,Total,Total,8
12,2020-03-27,2020,01-14,Total,Total,5
0,2020-01-03,2020,15-44,Total,Total,115
1,2020-01-10,2020,15-44,Total,Total,176
2,2020-01-17,2020,15-44,Total,Total,206
3,2020-01-24,2020,15-44,Total,Total,214
4,2020-01-31,2020,15-44,Total,Total,195
5,2020-02-07,2020,15-44,Total,Total,174
6,2020-02-14,2020,15-44,Total,Total,183
7,2020-02-21,2020,15-44,Total,Total,202
8,2020-02-28,2020,15-44,Total,Total,202
9,2020-03-06,2020,15-44,Total,Total,203
10,2020-03-13,2020,15-44,Total,Total,198
11,2020-03-20,2020,15-44,Total,Total,185
12,2020-03-27,2020,15-44,Total,Total,185
0,2020-01-03,2020,45-64,Total,Total,666
1,2020-01-10,2020,45-64,Total,Total,884
2,2020-01-17,2020,45-64,Total,Total,938
3,2020-01-24,2020,45-64,Total,Total,821
4,2020-01-31,2020,45-64,Total,Total,859
5,2020-02-07,2020,45-64,Total,Total,786
6,2020-02-14,2020,45-64,Total,Total,768
7,2020-02-21,2020,45-64,Total,Total,725
8,2020-02-28,2020,45-64,Total,Total,717
9,2020-03-06,2020,45-64,Total,Total,744
10,2020-03-13,2020,45-64,Total,Total,820
11,2020-03-20,2020,45-64,Total,Total,766
12,2020-03-27,2020,45-64,Total,Total,764
0,2020-01-03,2020,65-74,Total,Total,1111
1,2020-01-10,2020,65-74,Total,Total,1270
2,2020-01-17,2020,65-74,Total,Total,1161
3,2020-01-24,2020,65-74,Total,Total,1145
4,2020-01-31,2020,65-74,Total,Total,1120
5,2020-02-07,2020,65-74,Total,Total,1049
6,2020-02-14,2020,65-74,Total,Total,1059
7,2020-02-21,2020,65-74,Total,Total,999
8,2020-02-28,2020,65-74,Total,Total,1066
9,2020-03-06,2020,65-74,Total,Total,1034
10,2020-03-13,2020,65-74,Total,Total,1050
11,2020-03-20,2020,65-74,Total,Total,1033
12,2020-03-27,2020,65-74,Total,Total,1089
0,2020-01-03,2020,75-84,Total,Total,1878
1,2020-01-10,2020,75-84,Total,Total,2096
2,2020-01-17,2020,75-84,Total,Total,1966
3,2020-01-24,2020,75-84,Total,Total,1770
4,2020-01-31,2020,75-84,Total,Total,1746
5,2020-02-07,2020,75-84,Total,Total,1588
6,2020-02-14,2020,75-84,Total,Total,1597
7,2020-02-21,2020,75-84,Total,Total,1671
8,2020-02-28,2020,75-84,Total,Total,1579
9,2020-03-06,2020,75-84,Total,Total,1664
10,2020-03-13,2020,75-84,Total,Total,1652
11,2020-03-20,2020,75-84,Total,Total,1655
12,2020-03-27,2020,75-84,Total,Total,1793
0,2020-01-03,2020,85+,Total,Total,2080
1,2020-01-10,2020,85+,Total,Total,2359
2,2020-01-17,2020,85+,Total,Total,2109
3,2020-01-24,2020,85+,Total,Total,1925
4,2020-01-31,2020,85+,Total,Total,1841
5,2020-02-07,2020,85+,Total,Total,1785
6,2020-02-14,2020,85+,Total,Total,1846
7,2020-02-21,2020,85+,Total,Total,1800
8,2020-02-28,2020,85+,Total,Total,1827
9,2020-03-06,2020,85+,Total,Total,1774
10,2020-03-13,2020,85+,Total,Total,1820
11,2020-03-20,2020,85+,Total,Total,1725
12,2020-03-27,2020,85+,Total,Total,1867
0,2020-01-03,2020,Under 1 year,Total,Total,18
1,2020-01-10,2020,Under 1 year,Total,Total,21
2,2020-01-17,2020,Under 1 year,Total,Total,31
3,2020-01-24,2020,Under 1 year,Total,Total,25
4,2020-01-31,2020,Under 1 year,Total,Total,28
5,2020-02-07,2020,Under 1 year,Total,Total,17
6,2020-02-14,2020,Under 1 year,Total,Total,14
7,2020-02-21,2020,Under 1 year,Total,Total,19
8,2020-02-28,2020,Under 1 year,Total,Total,19
9,2020-03-06,2020,Under 1 year,Total,Total,25
10,2020-03-13,2020,Under 1 year,Total,Total,29
11,2020-03-20,2020,Under 1 year,Total,Total,19
12,2020-03-27,2020,Under 1 year,Total,Total,22
0,2020-01-03,2020,01-14,Total,Total,8
1,2020-01-10,2020,01-14,Total,Total,11
2,2020-01-17,2020,01-14,Total,Total,5
3,2020-01-24,2020,01-14,Total,Total,7
4,2020-01-31,2020,01-14,Total,Total,4
5,2020-02-07,2020,01-14,Total,Total,5
6,2020-02-14,2020,01-14,Total,Total,4
7,2020-02-21,2020,01-14,Total,Total,7
8,2020-02-28,2020,01-14,Total,Total,5
9,2020-03-06,2020,01-14,Total,Total,10
10,2020-03-13,2020,01-14,Total,Total,14
11,2020-03-20,2020,01-14,Total,Total,4
12,2020-03-27,2020,01-14,Total,Total,8
0,2020-01-03,2020,15-44,Total,Total,74
1,2020-01-10,2020,15-44,Total,Total,99
2,2020-01-17,2020,15-44,Total,Total,107
3,2020-01-24,2020,15-44,Total,Total,100
4,2020-01-31,2020,15-44,Total,Total,113
5,2020-02-07,2020,15-44,Total,Total,97
6,2020-02-14,2020,15-44,Total,Total,101
7,2020-02-21,2020,15-44,Total,Total,119
8,2020-02-28,2020,15-44,Total,Total,112
9,2020-03-06,2020,15-44,Total,Total,110
10,2020-03-13,2020,15-44,Total,Total,113
11,2020-03-20,2020,15-44,Total,Total,90
12,2020-03-27,2020,15-44,Total,Total,97
0,2020-01-03,2020,45-64,Total,Total,536
1,2020-01-10,2020,45-64,Total,Total,616
2,2020-01-17,2020,45-64,Total,Total,579
3,2020-01-24,2020,45-64,Total,Total,536
4,2020-01-31,2020,45-64,Total,Total,490
5,2020-02-07,2020,45-64,Total,Total,545
6,2020-02-14,2020,45-64,Total,Total,521
7,2020-02-21,2020,45-64,Total,Total,546
8,2020-02-28,2020,45-64,Total,Total,540
9,2020-03-06,2020,45-64,Total,Total,508
10,2020-03-13,2020,45-64,Total,Total,521
11,2020-03-20,2020,45-64,Total,Total,497
12,2020-03-27,2020,45-64,Total,Total,537
0,2020-01-03,2020,65-74,Total,Total,749
1,2020-01-10,2020,65-74,Total,Total,928
2,2020-01-17,2020,65-74,Total,Total,852
3,2020-01-24,2020,65-74,Total,Total,813
4,2020-01-31,2020,65-74,Total,Total,807
5,2020-02-07,2020,65-74,Total,Total,759
6,2020-02-14,2020,65-74,Total,Total,694
7,2020-02-21,2020,65-74,Total,Total,745
8,2020-02-28,2020,65-74,Total,Total,729
9,2020-03-06,2020,65-74,Total,Total,735
10,2020-03-13,2020,65-74,Total,Total,704
11,2020-03-20,2020,65-74,Total,Total,747
12,2020-03-27,2020,65-74,Total,Total,716
0,2020-01-03,2020,75-84,Total,Total,1705
1,2020-01-10,2020,75-84,Total,Total,1918
2,2020-01-17,2020,75-84,Total,Total,1749
3,2020-01-24,2020,75-84,Total,Total,1567
4,2020-01-31,2020,75-84,Total,Total,1511
5,2020-02-07,2020,75-84,Total,Total,1468
6,2020-02-14,2020,75-84,Total,Total,1411
7,2020-02-21,2020,75-84,Total,Total,1361
8,2020-02-28,2020,75-84,Total,Total,1388
9,2020-03-06,2020,75-84,Total,Total,1460
10,2020-03-13,2020,75-84,Total,Total,1452
11,2020-03-20,2020,75-84,Total,Total,1411
12,2020-03-27,2020,75-84,Total,Total,1454
0,2020-01-03,2020,85+,Total,Total,3276
1,2020-01-10,2020,85+,Total,Total,3636
2,2020-01-17,2020,85+,Total,Total,3239
3,2020-01-24,2020,85+,Total,Total,2891
4,2020-01-31,2020,85+,Total,Total,2865
5,2020-02-07,2020,85+,Total,Total,2688
6,2020-02-14,2020,85+,Total,Total,2709
7,2020-02-21,2020,85+,Total,Total,2604
8,2020-02-28,2020,85+,Total,Total,2587
9,2020-03-06,2020,85+,Total,Total,2587
10,2020-03-13,2020,85+,Total,Total,2614
11,2020-03-20,2020,85+,Total,Total,2480
12,2020-03-27,2020,85+,Total,Total,2577
0,2020-01-03,2020,Total,Total,North East,673
1,2020-01-10,2020,Total,Total,North East,707
2,2020-01-17,2020,Total,Total,North East,647
3,2020-01-24,2020,Total,Total,North East,612
4,2020-01-31,2020,Total,Total,North East,561
5,2020-02-07,2020,Total,Total,North East,564
6,2020-02-14,2020,Total,Total,North East,573
7,2020-02-21,2020,Total,Total,North East,539
8,2020-02-28,2020,Total,Total,North East,572
9,2020-03-06,2020,Total,Total,North East,568
10,2020-03-13,2020,Total,Total,North East,590
11,2020-03-20,2020,Total,Total,North East,522
12,2020-03-27,2020,Total,Total,North East,542
0,2020-01-03,2020,Total,Total,North West,1806
1,2020-01-10,2020,Total,Total,North West,1932
2,2020-01-17,2020,Total,Total,North West,1696
3,2020-01-24,2020,Total,Total,North West,1529
4,2020-01-31,2020,Total,Total,North West,1461
5,2020-02-07,2020,Total,Total,North West,1529
6,2020-02-14,2020,Total,Total,North West,1427
7,2020-02-21,2020,Total,Total,North West,1477
8,2020-02-28,2020,Total,Total,North West,1476
9,2020-03-06,2020,Total,Total,North West,1490
10,2020-03-13,2020,Total,Total,North West,1472
11,2020-03-20,2020,Total,Total,North West,1443
12,2020-03-27,2020,Total,Total,North West,1538
0,2020-01-03,2020,Total,Total,Yorkshire and The Humber,1240
1,2020-01-10,2020,Total,Total,Yorkshire and The Humber,1339
2,2020-01-17,2020,Total,Total,Yorkshire and The Humber,1278
3,2020-01-24,2020,Total,Total,Yorkshire and The Humber,1187
4,2020-01-31,2020,Total,Total,Yorkshire and The Humber,1136
5,2020-02-07,2020,Total,Total,Yorkshire and The Humber,1072
6,2020-02-14,2020,Total,Total,Yorkshire and The Humber,1059
7,2020-02-21,2020,Total,Total,Yorkshire and The Humber,1087
8,2020-02-28,2020,Total,Total,Yorkshire and The Humber,1078
9,2020-03-06,2020,Total,Total,Yorkshire and The Humber,1112
10,2020-03-13,2020,Total,Total,Yorkshire and The Humber,1053
11,2020-03-20,2020,Total,Total,Yorkshire and The Humber,1012
12,2020-03-27,2020,Total,Total,Yorkshire and The Humber,982
0,2020-01-03,2020,Total,Total,East Midlands,1060
1,2020-01-10,2020,Total,Total,East Midlands,1195
2,2020-01-17,2020,Total,Total,East Midlands,1106
3,2020-01-24,2020,Total,Total,East Midlands,1024
4,2020-01-31,2020,Total,Total,East Midlands,1015
5,2020-02-07,2020,Total,Total,East Midlands,922
6,2020-02-14,2020,Total,Total,East Midlands,976
7,2020-02-21,2020,Total,Total,East Midlands,924
8,2020-02-28,2020,Total,Total,East Midlands,919
9,2020-03-06,2020,Total,Total,East Midlands,930
10,2020-03-13,2020,Total,Total,East Midlands,915
11,2020-03-20,2020,Total,Total,East Midlands,947
12,2020-03-27,2020,Total,Total,East Midlands,922
0,2020-01-03,2020,Total,Total,West Midlands,1349
1,2020-01-10,2020,Total,Total,West Midlands,1450
2,2020-01-17,2020,Total,Total,West Midlands,1407
3,2020-01-24,2020,Total,Total,West Midlands,1231
4,2020-01-31,2020,Total,Total,West Midlands,1262
5,2020-02-07,2020,Total,Total,West Midlands,1052
6,2020-02-14,2020,Total,Total,West Midlands,1159
7,2020-02-21,2020,Total,Total,West Midlands,1116
8,2020-02-28,2020,Total,Total,West Midlands,1174
9,2020-03-06,2020,Total,Total,West Midlands,1098
10,2020-03-13,2020,Total,Total,West Midlands,1187
11,2020-03-20,2020,Total,Total,West Midlands,1115
12,2020-03-27,2020,Total,Total,West Midlands,1035
0,2020-01-03,2020,Total,Total,East,1162
1,2020-01-10,2020,Total,Total,East,1573
2,2020-01-17,2020,Total,Total,East,1457
3,2020-01-24,2020,Total,Total,East,1410
4,2020-01-31,2020,Total,Total,East,1286
5,2020-02-07,2020,Total,Total,East,1259
6,2020-02-14,2020,Total,Total,East,1172
7,2020-02-21,2020,Total,Total,East,1167
8,2020-02-28,2020,Total,Total,East,1115
9,2020-03-06,2020,Total,Total,East,1149
10,2020-03-13,2020,Total,Total,East,1211
11,2020-03-20,2020,Total,Total,East,1043
12,2020-03-27,2020,Total,Total,East,1182
0,2020-01-03,2020,Total,Total,London,1113
1,2020-01-10,2020,Total,Total,London,1272
2,2020-01-17,2020,Total,Total,London,1073
3,2020-01-24,2020,Total,Total,London,1028
4,2020-01-31,2020,Total,Total,London,1092
5,2020-02-07,2020,Total,Total,London,987
6,2020-02-14,2020,Total,Total,London,967
7,2020-02-21,2020,Total,Total,London,1032
8,2020-02-28,2020,Total,Total,London,1085
9,2020-03-06,2020,Total,Total,London,982
10,2020-03-13,2020,Total,Total,London,964
11,2020-03-20,2020,Total,Total,London,1008
12,2020-03-27,2020,Total,Total,London,1297
0,2020-01-03,2020,Total,Total,South East,1814
1,2020-01-10,2020,Total,Total,South East,2132
2,2020-01-17,2020,Total,Total,South East,2064
3,2020-01-24,2020,Total,Total,South East,1833
4,2020-01-31,2020,Total,Total,South East,1820
5,2020-02-07,2020,Total,Total,South East,1729
6,2020-02-14,2020,Total,Total,South East,1688
7,2020-02-21,2020,Total,Total,South East,1675
8,2020-02-28,2020,Total,Total,South East,1587
9,2020-03-06,2020,Total,Total,South East,1726
10,2020-03-13,2020,Total,Total,South East,1751
11,2020-03-20,2020,Total,Total,South East,1657
12,2020-03-27,2020,Total,Total,South East,1822
0,2020-01-03,2020,Total,Total,South West,1225
1,2020-01-10,2020,Total,Total,South West,1487
2,2020-01-17,2020,Total,Total,South West,1466
3,2020-01-24,2020,Total,Total,South West,1253
4,2020-01-31,2020,Total,Total,South West,1233
5,2020-02-07,2020,Total,Total,South West,1157
6,2020-02-14,2020,Total,Total,South West,1169
7,2020-02-21,2020,Total,Total,South West,1118
8,2020-02-28,2020,Total,Total,South West,1133
9,2020-03-06,2020,Total,Total,South West,1170
10,2020-03-13,2020,Total,Total,South West,1174
11,2020-03-20,2020,Total,Total,South West,1156
12,2020-03-27,2020,Total,Total,South West,1092
0,2020-01-03,2020,Total,Total,Wales,787
1,2020-01-10,2020,Total,Total,Wales,939
2,2020-01-17,2020,Total,Total,Wales,767
3,2020-01-24,2020,Total,Total,Wales,723
4,2020-01-31,2020,Total,Total,Wales,727
5,2020-02-07,2020,Total,Total,Wales,690
6,2020-02-14,2020,Total,Total,Wales,728
7,2020-02-21,2020,Total,Total,Wales,679
8,2020-02-28,2020,Total,Total,Wales,651
9,2020-03-06,2020,Total,Total,Wales,652
10,2020-03-13,2020,Total,Total,Wales,675
11,2020-03-20,2020,Total,Total,Wales,719
12,2020-03-27,2020,Total,Total,Wales,719
