,Week,Year,Age,Condition,Region,Deaths
0,2019-01-04,2020,Total,Total,Total,10955
1,2019-01-11,2020,Total,Total,Total,12609
2,2019-01-18,2020,Total,Total,Total,11860
3,2019-01-25,2020,Total,Total,Total,11740
4,2019-02-01,2020,Total,Total,Total,11297
5,2019-02-08,2020,Total,Total,Total,11660
6,2019-02-15,2020,Total,Total,Total,11824
7,2019-02-22,2020,Total,Total,Total,11295
8,2019-03-01,2020,Total,Total,Total,11044
9,2019-03-08,2020,Total,Total,Total,10898
10,2019-03-15,2020,Total,Total,Total,10567
11,2019-03-22,2020,Total,Total,Total,10402
12,2019-03-29,2020,Total,Total,Total,9867
13,2019-04-05,2020,Total,Total,Total,10126
14,2019-04-12,2020,Total,Total,Total,10291
15,2019-04-19,2020,Total,Total,Total,9025
16,2019-04-26,2020,Total,Total,Total,10059
17,2019-05-03,2020,Total,Total,Total,11207
18,2019-05-10,2020,Total,Total,Total,9055
19,2019-05-17,2020,Total,Total,Total,10272
20,2019-05-24,2020,Total,Total,Total,10284
21,2019-05-31,2020,Total,Total,Total,8260
22,2019-06-07,2020,Total,Total,Total,10140
23,2019-06-14,2020,Total,Total,Total,9445
24,2019-06-21,2020,Total,Total,Total,9458
25,2019-06-28,2020,Total,Total,Total,9511
26,2019-07-05,2020,Total,Total,Total,9062
27,2019-07-12,2020,Total,Total,Total,9179
28,2019-07-19,2020,Total,Total,Total,9080
29,2019-07-26,2020,Total,Total,Total,9112
30,2019-08-02,2020,Total,Total,Total,9271
31,2019-08-09,2020,Total,Total,Total,9122
32,2019-08-16,2020,Total,Total,Total,9093
33,2019-08-23,2020,Total,Total,Total,8994
34,2019-08-30,2020,Total,Total,Total,8242
35,2019-09-06,2020,Total,Total,Total,9695
36,2019-09-13,2020,Total,Total,Total,9513
37,2019-09-20,2020,Total,Total,Total,9440
38,2019-09-27,2020,Total,Total,Total,9517
39,2019-10-04,2020,Total,Total,Total,9799
40,2019-10-11,2020,Total,Total,Total,9973
41,2019-10-18,2020,Total,Total,Total,10156
42,2019-10-25,2020,Total,Total,Total,10021
43,2019-11-01,2020,Total,Total,Total,10164
44,2019-11-08,2020,Total,Total,Total,10697
45,2019-11-15,2020,Total,Total,Total,10650
46,2019-11-22,2020,Total,Total,Total,10882
47,2019-11-29,2020,Total,Total,Total,10958
48,2019-12-06,2020,Total,Total,Total,10816
49,2019-12-13,2020,Total,Total,Total,11188
50,2019-12-20,2020,Total,Total,Total,11926
51,2019-12-27,2020,Total,Total,Total,7533
52,2019-01-04,2020,Total,Respiratory,Total,1736
53,2019-01-11,2020,Total,Respiratory,Total,2214
54,2019-01-18,2020,Total,Respiratory,Total,1972
55,2019-01-25,2020,Total,Respiratory,Total,1942
56,2019-02-01,2020,Total,Respiratory,Total,1931
57,2019-02-08,2020,Total,Respiratory,Total,1918
58,2019-02-15,2020,Total,Respiratory,Total,1931
59,2019-02-22,2020,Total,Respiratory,Total,1890
60,2019-03-01,2020,Total,Respiratory,Total,1786
61,2019-03-08,2020,Total,Respiratory,Total,1657
62,2019-03-15,2020,Total,Respiratory,Total,1559
63,2019-03-22,2020,Total,Respiratory,Total,1486
64,2019-03-29,2020,Total,Respiratory,Total,1314
65,2019-04-05,2020,Total,Respiratory,Total,1412
66,2019-04-12,2020,Total,Respiratory,Total,1396
67,2019-04-19,2020,Total,Respiratory,Total,1262
68,2019-04-26,2020,Total,Respiratory,Total,1406
69,2019-05-03,2020,Total,Respiratory,Total,1581
70,2019-05-10,2020,Total,Respiratory,Total,1239
71,2019-05-17,2020,Total,Respiratory,Total,1355
72,2019-05-24,2020,Total,Respiratory,Total,1324
73,2019-05-31,2020,Total,Respiratory,Total,1105
74,2019-06-07,2020,Total,Respiratory,Total,1290
75,2019-06-14,2020,Total,Respiratory,Total,1134
76,2019-06-21,2020,Total,Respiratory,Total,1134
77,2019-06-28,2020,Total,Respiratory,Total,1143
78,2019-07-05,2020,Total,Respiratory,Total,1076
79,2019-07-12,2020,Total,Respiratory,Total,1081
80,2019-07-19,2020,Total,Respiratory,Total,1024
81,2019-07-26,2020,Total,Respiratory,Total,996
82,2019-08-02,2020,Total,Respiratory,Total,1116
83,2019-08-09,2020,Total,Respiratory,Total,1048
84,2019-08-16,2020,Total,Respiratory,Total,1033
85,2019-08-23,2020,Total,Respiratory,Total,981
86,2019-08-30,2020,Total,Respiratory,Total,854
87,2019-09-06,2020,Total,Respiratory,Total,1125
88,2019-09-13,2020,Total,Respiratory,Total,1028
89,2019-09-20,2020,Total,Respiratory,Total,1056
90,2019-09-27,2020,Total,Respiratory,Total,1045
91,2019-10-04,2020,Total,Respiratory,Total,1114
92,2019-10-11,2020,Total,Respiratory,Total,1209
93,2019-10-18,2020,Total,Respiratory,Total,1236
94,2019-10-25,2020,Total,Respiratory,Total,1252
95,2019-11-01,2020,Total,Respiratory,Total,1333
96,2019-11-08,2020,Total,Respiratory,Total,1363
97,2019-11-15,2020,Total,Respiratory,Total,1451
98,2019-11-22,2020,Total,Respiratory,Total,1423
99,2019-11-29,2020,Total,Respiratory,Total,1566
100,2019-12-06,2020,Total,Respiratory,Total,1505
101,2019-12-13,2020,Total,Respiratory,Total,1637
102,2019-12-20,2020,Total,Respiratory,Total,1839
103,2019-12-27,2020,Total,Respiratory,Total,1166
0,2019-01-04,2019,Under 1 year,Total,Total,43
1,2019-01-11,2019,Under 1 year,Total,Total,50
2,2019-01-18,2019,Under 1 year,Total,Total,59
3,2019-01-25,2019,Under 1 year,Total,Total,42
4,2019-02-01,2019,Under 1 year,Total,Total,57
5,2019-02-08,2019,Under 1 year,Total,Total,54
6,2019-02-15,2019,Under 1 year,Total,Total,49
