,Week,Year,Age,Condition,Region,Deaths
7,2019-02-22,2019,Under 1 year,Total,Total,59
8,2019-03-01,2019,Under 1 year,Total,Total,52
9,2019-03-08,2019,Under 1 year,Total,Total,45
10,2019-03-15,2019,Under 1 year,Total,Total,57
11,2019-03-22,2019,Under 1 year,Total,Total,49
12,2019-03-29,2019,Under 1 year,Total,Total,45
13,2019-04-05,2019,Under 1 year,Total,Total,41
14,2019-04-12,2019,Under 1 year,Total,Total,47
15,2019-04-19,2019,Under 1 year,Total,Total,48
16,2019-04-26,2019,Under 1 year,Total,Total,34
17,2019-05-03,2019,Under 1 year,Total,Total,46
18,2019-05-10,2019,Under 1 year,Total,Total,56
19,2019-05-17,2019,Under 1 year,Total,Total,44
20,2019-05-24,2019,Under 1 year,Total,Total,51
21,2019-05-31,2019,Under 1 year,Total,Total,45
22,2019-06-07,2019,Under 1 year,Total,Total,48
23,2019-06-14,2019,Under 1 year,Total,Total,46
24,2019-06-21,2019,Under 1 year,Total,Total,46
25,2019-06-28,2019,Under 1 year,Total,Total,39
26,2019-07-05,2019,Under 1 year,Total,Total,33
27,2019-07-12,2019,Under 1 year,Total,Total,44
28,2019-07-19,2019,Under 1 year,Total,Total,45
29,2019-07-26,2019,Under 1 year,Total,Total,57
30,2019-08-02,2019,Under 1 year,Total,Total,57
31,2019-08-09,2019,Under 1 year,Total,Total,57
32,2019-08-16,2019,Under 1 year,Total,Total,54
33,2019-08-23,2019,Under 1 year,Total,Total,47
34,2019-08-30,2019,Under 1 year,Total,Total,45
35,2019-09-06,2019,Under 1 year,Total,Total,54
36,2019-09-13,2019,Under 1 year,Total,Total,60
37,2019-09-20,2019,Under 1 year,Total,Total,45
38,2019-09-27,2019,Under 1 year,Total,Total,55
39,2019-10-04,2019,Under 1 year,Total,Total,68
40,2019-10-11,2019,Under 1 year,Total,Total,46
41,2019-10-18,2019,Under 1 year,Total,Total,54
42,2019-10-25,2019,Under 1 year,Total,Total,49
43,2019-11-01,2019,Under 1 year,Total,Total,45
44,2019-11-08,2019,Under 1 year,Total,Total,52
45,2019-11-15,2019,Under 1 year,Total,Total,46
46,2019-11-22,2019,Under 1 year,Total,Total,57
47,2019-11-29,2019,Under 1 year,Total,Total,56
48,2019-12-06,2019,Under 1 year,Total,Total,50
49,2019-12-13,2019,Under 1 year,Total,Total,52
50,2019-12-20,2019,Under 1 year,Total,Total,53
51,2019-12-27,2019,Under 1 year,Total,Total,34
0,2019-01-04,2019,01-14,Total,Total,15
1,2019-01-11,2019,01-14,Total,Total,20
2,2019-01-18,2019,01-14,Total,Total,29
3,2019-01-25,2019,01-14,Total,Total,22
4,2019-02-01,2019,01-14,Total,Total,15
5,2019-02-08,2019,01-14,Total,Total,25
6,2019-02-15,2019,01-14,Total,Total,17
7,2019-02-22,2019,01-14,Total,Total,30
8,2019-03-01,2019,01-14,Total,Total,20
9,2019-03-08,2019,01-14,Total,Total,16
10,2019-03-15,2019,01-14,Total,Total,24
11,2019-03-22,2019,01-14,Total,Total,24
12,2019-03-29,2019,01-14,Total,Total,17
13,2019-04-05,2019,01-14,Total,Total,13
14,2019-04-12,2019,01-14,Total,Total,23
15,2019-04-19,2019,01-14,Total,Total,21
16,2019-04-26,2019,01-14,Total,Total,18
17,2019-05-03,2019,01-14,Total,Total,18
18,2019-05-10,2019,01-14,Total,Total,17
19,2019-05-17,2019,01-14,Total,Total,14
20,2019-05-24,2019,01-14,Total,Total,21
21,2019-05-31,2019,01-14,Total,Total,16
22,2019-06-07,2019,01-14,Total,Total,18
23,2019-06-14,2019,01-14,Total,Total,18
24,2019-06-21,2019,01-14,Total,Total,20
25,2019-06-28,2019,01-14,Total,Total,21
26,2019-07-05,2019,01-14,Total,Total,26
27,2019-07-12,2019,01-14,Total,Total,16
28,2019-07-19,2019,01-14,Total,Total,14
29,2019-07-26,2019,01-14,Total,Total,14
30,2019-08-02,2019,01-14,Total,Total,11
31,2019-08-09,2019,01-14,Total,Total,12
32,2019-08-16,2019,01-14,Total,Total,24
33,2019-08-23,2019,01-14,Total,Total,8
34,2019-08-30,2019,01-14,Total,Total,16
35,2019-09-06,2019,01-14,Total,Total,19
36,2019-09-13,2019,01-14,Total,Total,12
37,2019-09-20,2019,01-14,Total,Total,18
38,2019-09-27,2019,01-14,Total,Total,14
39,2019-10-04,2019,01-14,Total,Total,15
40,2019-10-11,2019,01-14,Total,Total,16
41,2019-10-18,2019,01-14,Total,Total,14
42,2019-10-25,2019,01-14,Total,Total,14
43,2019-11-01,2019,01-14,Total,Total,19
44,2019-11-08,2019,01-14,Total,Total,7
45,2019-11-15,2019,01-14,Total,Total,19
46,2019-11-22,2019,01-14,Total,Total,19
47,2019-11-29,2019,01-14,Total,Total,14
48,2019-12-06,2019,01-14,Total,Total,17
49,2019-12-13,2019,01-14,Total,Total,32
50,2019-12-20,2019,01-14,Total,Total,19
51,2019-12-27,2019,01-14,Total,Total,13
0,2019-01-04,2019,15-44,Total,Total,215
1,2019-01-11,2019,15-44,Total,Total,280
2,2019-01-18,2019,15-44,Total,Total,319
3,2019-01-25,2019,15-44,Total,Total,339
4,2019-02-01,2019,15-44,Total,Total,307
5,2019-02-08,2019,15-44,Total,Total,267
6,2019-02-15,2019,15-44,Total,Total,305
7,2019-02-22,2019,15-44,Total,Total,276
8,2019-03-01,2019,15-44,Total,Total,288
9,2019-03-08,2019,15-44,Total,Total,303
10,2019-03-15,2019,15-44,Total,Total,299
11,2019-03-22,2019,15-44,Total,Total,293
12,2019-03-29,2019,15-44,Total,Total,289
13,2019-04-05,2019,15-44,Total,Total,296
14,2019-04-12,2019,15-44,Total,Total,288
15,2019-04-19,2019,15-44,Total,Total,251
16,2019-04-26,2019,15-44,Total,Total,273
17,2019-05-03,2019,15-44,Total,Total,297
18,2019-05-10,2019,15-44,Total,Total,262
19,2019-05-17,2019,15-44,Total,Total,304
20,2019-05-24,2019,15-44,Total,Total,309
21,2019-05-31,2019,15-44,Total,Total,239
22,2019-06-07,2019,15-44,Total,Total,306
23,2019-06-14,2019,15-44,Total,Total,298
24,2019-06-21,2019,15-44,Total,Total,279
25,2019-06-28,2019,15-44,Total,Total,273
26,2019-07-05,2019,15-44,Total,Total,255
27,2019-07-12,2019,15-44,Total,Total,259
28,2019-07-19,2019,15-44,Total,Total,279
29,2019-07-26,2019,15-44,Total,Total,267
30,2019-08-02,2019,15-44,Total,Total,265
31,2019-08-09,2019,15-44,Total,Total,245
32,2019-08-16,2019,15-44,Total,Total,277
33,2019-08-23,2019,15-44,Total,Total,264
34,2019-08-30,2019,15-44,Total,Total,224
35,2019-09-06,2019,15-44,Total,Total,268
36,2019-09-13,2019,15-44,Total,Total,297
37,2019-09-20,2019,15-44,Total,Total,264
38,2019-09-27,2019,15-44,Total,Total,269
39,2019-10-04,2019,15-44,Total,Total,325
40,2019-10-11,2019,15-44,Total,Total,302
41,2019-10-18,2019,15-44,Total,Total,303
42,2019-10-25,2019,15-44,Total,Total,281
43,2019-11-01,2019,15-44,Total,Total,289
44,2019-11-08,2019,15-44,Total,Total,314
45,2019-11-15,2019,15-44,Total,Total,271
46,2019-11-22,2019,15-44,Total,Total,283
47,2019-11-29,2019,15-44,Total,Total,312
48,2019-12-06,2019,15-44,Total,Total,315
49,2019-12-13,2019,15-44,Total,Total,315
50,2019-12-20,2019,15-44,Total,Total,368
51,2019-12-27,2019,15-44,Total,Total,148
0,2019-01-04,2019,45-64,Total,Total,1199
1,2019-01-11,2019,45-64,Total,Total,1419
2,2019-01-18,2019,45-64,Total,Total,1373
3,2019-01-25,2019,45-64,Total,Total,1438
4,2019-02-01,2019,45-64,Total,Total,1367
5,2019-02-08,2019,45-64,Total,Total,1387
6,2019-02-15,2019,45-64,Total,Total,1372
7,2019-02-22,2019,45-64,Total,Total,1395
8,2019-03-01,2019,45-64,Total,Total,1264
9,2019-03-08,2019,45-64,Total,Total,1342
10,2019-03-15,2019,45-64,Total,Total,1311
11,2019-03-22,2019,45-64,Total,Total,1249
12,2019-03-29,2019,45-64,Total,Total,1222
13,2019-04-05,2019,45-64,Total,Total,1232
14,2019-04-12,2019,45-64,Total,Total,1265
15,2019-04-19,2019,45-64,Total,Total,1100
16,2019-04-26,2019,45-64,Total,Total,1207
17,2019-05-03,2019,45-64,Total,Total,1334
18,2019-05-10,2019,45-64,Total,Total,1094
19,2019-05-17,2019,45-64,Total,Total,1274
20,2019-05-24,2019,45-64,Total,Total,1262
21,2019-05-31,2019,45-64,Total,Total,991
22,2019-06-07,2019,45-64,Total,Total,1223
23,2019-06-14,2019,45-64,Total,Total,1149
24,2019-06-21,2019,45-64,Total,Total,1150
25,2019-06-28,2019,45-64,Total,Total,1214
26,2019-07-05,2019,45-64,Total,Total,1112
27,2019-07-12,2019,45-64,Total,Total,1140
28,2019-07-19,2019,45-64,Total,Total,1136
29,2019-07-26,2019,45-64,Total,Total,1117
30,2019-08-02,2019,45-64,Total,Total,1123
31,2019-08-09,2019,45-64,Total,Total,1095
32,2019-08-16,2019,45-64,Total,Total,1244
33,2019-08-23,2019,45-64,Total,Total,1127
34,2019-08-30,2019,45-64,Total,Total,1026
35,2019-09-06,2019,45-64,Total,Total,1199
36,2019-09-13,2019,45-64,Total,Total,1169
37,2019-09-20,2019,45-64,Total,Total,1174
38,2019-09-27,2019,45-64,Total,Total,1197
39,2019-10-04,2019,45-64,Total,Total,1189
40,2019-10-11,2019,45-64,Total,Total,1137
41,2019-10-18,2019,45-64,Total,Total,1154
42,2019-10-25,2019,45-64,Total,Total,1198
43,2019-11-01,2019,45-64,Total,Total,1196
44,2019-11-08,2019,45-64,Total,Total,1236
45,2019-11-15,2019,45-64,Total,Total,1254
46,2019-11-22,2019,45-64,Total,Total,1225
47,2019-11-29,2019,45-64,Total,Total,1237
48,2019-12-06,2019,45-64,Total,Total,1275
49,2019-12-13,2019,45-64,Total,Total,1313
50,2019-12-20,2019,45-64,Total,Total,1316
51,2019-12-27,2019,45-64,Total,Total,773
0,2019-01-04,2019,65-74,Total,Total,1766
1,2019-01-11,2019,65-74,Total,Total,2179
2,2019-01-18,2019,65-74,Total,Total,2004
3,2019-01-25,2019,65-74,Total,Total,1936
4,2019-02-01,2019,65-74,Total,Total,1852
5,2019-02-08,2019,65-74,Total,Total,1955
6,2019-02-15,2019,65-74,Total,Total,1911
7,2019-02-22,2019,65-74,Total,Total,1824
8,2019-03-01,2019,65-74,Total,Total,1826
9,2019-03-08,2019,65-74,Total,Total,1857
10,2019-03-15,2019,65-74,Total,Total,1718
11,2019-03-22,2019,65-74,Total,Total,1713
12,2019-03-29,2019,65-74,Total,Total,1643
13,2019-04-05,2019,65-74,Total,Total,1614
14,2019-04-12,2019,65-74,Total,Total,1712
15,2019-04-19,2019,65-74,Total,Total,1446
16,2019-04-26,2019,65-74,Total,Total,1730
17,2019-05-03,2019,65-74,Total,Total,1869
18,2019-05-10,2019,65-74,Total,Total,1513
19,2019-05-17,2019,65-74,Total,Total,1650
20,2019-05-24,2019,65-74,Total,Total,1765
21,2019-05-31,2019,65-74,Total,Total,1382
22,2019-06-07,2019,65-74,Total,Total,1741
23,2019-06-14,2019,65-74,Total,Total,1658
24,2019-06-21,2019,65-74,Total,Total,1625
25,2019-06-28,2019,65-74,Total,Total,1605
26,2019-07-05,2019,65-74,Total,Total,1561
27,2019-07-12,2019,65-74,Total,Total,1564
28,2019-07-19,2019,65-74,Total,Total,1500
29,2019-07-26,2019,65-74,Total,Total,1598
30,2019-08-02,2019,65-74,Total,Total,1597
31,2019-08-09,2019,65-74,Total,Total,1578
32,2019-08-16,2019,65-74,Total,Total,1573
33,2019-08-23,2019,65-74,Total,Total,1582
34,2019-08-30,2019,65-74,Total,Total,1419
35,2019-09-06,2019,65-74,Total,Total,1643
36,2019-09-13,2019,65-74,Total,Total,1617
37,2019-09-20,2019,65-74,Total,Total,1592
38,2019-09-27,2019,65-74,Total,Total,1547
39,2019-10-04,2019,65-74,Total,Total,1665
40,2019-10-11,2019,65-74,Total,Total,1595
41,2019-10-18,2019,65-74,Total,Total,1628
42,2019-10-25,2019,65-74,Total,Total,1663
43,2019-11-01,2019,65-74,Total,Total,1663
44,2019-11-08,2019,65-74,Total,Total,1676
45,2019-11-15,2019,65-74,Total,Total,1673
46,2019-11-22,2019,65-74,Total,Total,1743
47,2019-11-29,2019,65-74,Total,Total,1751
48,2019-12-06,2019,65-74,Total,Total,1689
49,2019-12-13,2019,65-74,Total,Total,1793
50,2019-12-20,2019,65-74,Total,Total,1903
51,2019-12-27,2019,65-74,Total,Total,1185
0,2019-01-04,2019,75-84,Total,Total,3078
1,2019-01-11,2019,75-84,Total,Total,3590
2,2019-01-18,2019,75-84,Total,Total,3414
3,2019-01-25,2019,75-84,Total,Total,3266
4,2019-02-01,2019,75-84,Total,Total,3126
5,2019-02-08,2019,75-84,Total,Total,3251
6,2019-02-15,2019,75-84,Total,Total,3392
7,2019-02-22,2019,75-84,Total,Total,3169
8,2019-03-01,2019,75-84,Total,Total,3117
9,2019-03-08,2019,75-84,Total,Total,3042
10,2019-03-15,2019,75-84,Total,Total,2933
11,2019-03-22,2019,75-84,Total,Total,2948
12,2019-03-29,2019,75-84,Total,Total,2794
13,2019-04-05,2019,75-84,Total,Total,2937
14,2019-04-12,2019,75-84,Total,Total,2907
15,2019-04-19,2019,75-84,Total,Total,2547
16,2019-04-26,2019,75-84,Total,Total,2811
17,2019-05-03,2019,75-84,Total,Total,3207
18,2019-05-10,2019,75-84,Total,Total,2579
19,2019-05-17,2019,75-84,Total,Total,2864
20,2019-05-24,2019,75-84,Total,Total,2946
21,2019-05-31,2019,75-84,Total,Total,2403
22,2019-06-07,2019,75-84,Total,Total,2846
23,2019-06-14,2019,75-84,Total,Total,2672
24,2019-06-21,2019,75-84,Total,Total,2711
25,2019-06-28,2019,75-84,Total,Total,2692
26,2019-07-05,2019,75-84,Total,Total,2650
27,2019-07-12,2019,75-84,Total,Total,2616
28,2019-07-19,2019,75-84,Total,Total,2610
29,2019-07-26,2019,75-84,Total,Total,2580
30,2019-08-02,2019,75-84,Total,Total,2664
31,2019-08-09,2019,75-84,Total,Total,2575
32,2019-08-16,2019,75-84,Total,Total,2530
33,2019-08-23,2019,75-84,Total,Total,2479
34,2019-08-30,2019,75-84,Total,Total,2319
35,2019-09-06,2019,75-84,Total,Total,2775
36,2019-09-13,2019,75-84,Total,Total,2654
37,2019-09-20,2019,75-84,Total,Total,2695
38,2019-09-27,2019,75-84,Total,Total,2760
39,2019-10-04,2019,75-84,Total,Total,2780
40,2019-10-11,2019,75-84,Total,Total,2869
41,2019-10-18,2019,75-84,Total,Total,2920
42,2019-10-25,2019,75-84,Total,Total,2799
43,2019-11-01,2019,75-84,Total,Total,2938
44,2019-11-08,2019,75-84,Total,Total,2998
45,2019-11-15,2019,75-84,Total,Total,3070
46,2019-11-22,2019,75-84,Total,Total,3163
47,2019-11-29,2019,75-84,Total,Total,3142
48,2019-12-06,2019,75-84,Total,Total,3078
49,2019-12-13,2019,75-84,Total,Total,3215
50,2019-12-20,2019,75-84,Total,Total,3299
51,2019-12-27,2019,75-84,Total,Total,2231
0,2019-01-04,2019,85+,Total,Total,4639
1,2019-01-11,2019,85+,Total,Total,5071
2,2019-01-18,2019,85+,Total,Total,4662
3,2019-01-25,2019,85+,Total,Total,4697
4,2019-02-01,2019,85+,Total,Total,4573
5,2019-02-08,2019,85+,Total,Total,4721
6,2019-02-15,2019,85+,Total,Total,4778
7,2019-02-22,2019,85+,Total,Total,4542
8,2019-03-01,2019,85+,Total,Total,4477
9,2019-03-08,2019,85+,Total,Total,4293
10,2019-03-15,2019,85+,Total,Total,4225
11,2019-03-22,2019,85+,Total,Total,4126
12,2019-03-29,2019,85+,Total,Total,3857
13,2019-04-05,2019,85+,Total,Total,3993
14,2019-04-12,2019,85+,Total,Total,4049
15,2019-04-19,2019,85+,Total,Total,3612
16,2019-04-26,2019,85+,Total,Total,3986
17,2019-05-03,2019,85+,Total,Total,4436
18,2019-05-10,2019,85+,Total,Total,3534
19,2019-05-17,2019,85+,Total,Total,4122
20,2019-05-24,2019,85+,Total,Total,3930
21,2019-05-31,2019,85+,Total,Total,3184
22,2019-06-07,2019,85+,Total,Total,3958
23,2019-06-14,2019,85+,Total,Total,3604
24,2019-06-21,2019,85+,Total,Total,3627
25,2019-06-28,2019,85+,Total,Total,3667
26,2019-07-05,2019,85+,Total,Total,3425
27,2019-07-12,2019,85+,Total,Total,3540
28,2019-07-19,2019,85+,Total,Total,3496
29,2019-07-26,2019,85+,Total,Total,3479
30,2019-08-02,2019,85+,Total,Total,3554
31,2019-08-09,2019,85+,Total,Total,3560
32,2019-08-16,2019,85+,Total,Total,3391
33,2019-08-23,2019,85+,Total,Total,3487
34,2019-08-30,2019,85+,Total,Total,3193
35,2019-09-06,2019,85+,Total,Total,3737
36,2019-09-13,2019,85+,Total,Total,3704
37,2019-09-20,2019,85+,Total,Total,3652
38,2019-09-27,2019,85+,Total,Total,3675
39,2019-10-04,2019,85+,Total,Total,3757
40,2019-10-11,2019,85+,Total,Total,4008
41,2019-10-18,2019,85+,Total,Total,4083
42,2019-10-25,2019,85+,Total,Total,4017
43,2019-11-01,2019,85+,Total,Total,4014
44,2019-11-08,2019,85+,Total,Total,4414
45,2019-11-15,2019,85+,Total,Total,4317
46,2019-11-22,2019,85+,Total,Total,4392
47,2019-11-29,2019,85+,Total,Total,4446
48,2019-12-06,2019,85+,Total,Total,4392
49,2019-12-13,2019,85+,Total,Total,4468
50,2019-12-20,2019,85+,Total,Total,4968
51,2019-12-27,2019,85+,Total,Total,3149
0,2019-01-04,2019,Under 1 year,Total,Total,28
1,2019-01-11,2019,Under 1 year,Total,Total,20
2,2019-01-18,2019,Under 1 year,Total,Total,39
3,2019-01-25,2019,Under 1 year,Total,Total,26
4,2019-02-01,2019,Under 1 year,Total,Total,38
5,2019-02-08,2019,Under 1 year,Total,Total,36
6,2019-02-15,2019,Under 1 year,Total,Total,27
7,2019-02-22,2019,Under 1 year,Total,Total,30
8,2019-03-01,2019,Under 1 year,Total,Total,24
9,2019-03-08,2019,Under 1 year,Total,Total,32
10,2019-03-15,2019,Under 1 year,Total,Total,30
11,2019-03-22,2019,Under 1 year,Total,Total,29
12,2019-03-29,2019,Under 1 year,Total,Total,26
13,2019-04-05,2019,Under 1 year,Total,Total,21
14,2019-04-12,2019,Under 1 year,Total,Total,31
15,2019-04-19,2019,Under 1 year,Total,Total,24
16,2019-04-26,2019,Under 1 year,Total,Total,16
17,2019-05-03,2019,Under 1 year,Total,Total,26
18,2019-05-10,2019,Under 1 year,Total,Total,34
19,2019-05-17,2019,Under 1 year,Total,Total,24
20,2019-05-24,2019,Under 1 year,Total,Total,29
21,2019-05-31,2019,Under 1 year,Total,Total,22
22,2019-06-07,2019,Under 1 year,Total,Total,26
23,2019-06-14,2019,Under 1 year,Total,Total,22
24,2019-06-21,2019,Under 1 year,Total,Total,25
25,2019-06-28,2019,Under 1 year,Total,Total,22
26,2019-07-05,2019,Under 1 year,Total,Total,24
27,2019-07-12,2019,Under 1 year,Total,Total,23
28,2019-07-19,2019,Under 1 year,Total,Total,31
29,2019-07-26,2019,Under 1 year,Total,Total,36
30,2019-08-02,2019,Under 1 year,Total,Total,30
31,2019-08-09,2019,Under 1 year,Total,Total,26
32,2019-08-16,2019,Under 1 year,Total,Total,28
33,2019-08-23,2019,Under 1 year,Total,Total,31
34,2019-08-30,2019,Under 1 year,Total,Total,23
35,2019-09-06,2019,Under 1 year,Total,Total,29
36,2019-09-13,2019,Under 1 year,Total,Total,31
37,2019-09-20,2019,Under 1 year,Total,Total,23
38,2019-09-27,2019,Under 1 year,Total,Total,28
39,2019-10-04,2019,Under 1 year,Total,Total,37
40,2019-10-11,2019,Under 1 year,Total,Total,26
41,2019-10-18,2019,Under 1 year,Total,Total,32
42,2019-10-25,2019,Under 1 year,Total,Total,23
43,2019-11-01,2019,Under 1 year,Total,Total,27
44,2019-11-08,2019,Under 1 year,Total,Total,29
45,2019-11-15,2019,Under 1 year,Total,Total,19
46,2019-11-22,2019,Under 1 year,Total,Total,32
47,2019-11-29,2019,Under 1 year,Total,Total,35
48,2019-12-06,2019,Under 1 year,Total,Total,32
49,2019-12-13,2019,Under 1 year,Total,Total,29
50,2019-12-20,2019,Under 1 year,Total,Total,25
51,2019-12-27,2019,Under 1 year,Total,Total,20
0,2019-01-04,2019,01-14,Total,Total,5
1,2019-01-11,2019,01-14,Total,Total,13
2,2019-01-18,2019,01-14,Total,Total,14
3,2019-01-25,2019,01-14,Total,Total,10
4,2019-02-01,2019,01-14,Total,Total,10
5,2019-02-08,2019,01-14,Total,Total,17
6,2019-02-15,2019,01-14,Total,Total,8
7,2019-02-22,2019,01-14,Total,Total,16
8,2019-03-01,2019,01-14,Total,Total,10
9,2019-03-08,2019,01-14,Total,Total,10
10,2019-03-15,2019,01-14,Total,Total,11
11,2019-03-22,2019,01-14,Total,Total,9
12,2019-03-29,2019,01-14,Total,Total,8
13,2019-04-05,2019,01-14,Total,Total,8
14,2019-04-12,2019,01-14,Total,Total,14
15,2019-04-19,2019,01-14,Total,Total,11
16,2019-04-26,2019,01-14,Total,Total,9
17,2019-05-03,2019,01-14,Total,Total,14
18,2019-05-10,2019,01-14,Total,Total,9
19,2019-05-17,2019,01-14,Total,Total,7
20,2019-05-24,2019,01-14,Total,Total,12
21,2019-05-31,2019,01-14,Total,Total,11
22,2019-06-07,2019,01-14,Total,Total,9
23,2019-06-14,2019,01-14,Total,Total,11
24,2019-06-21,2019,01-14,Total,Total,11
25,2019-06-28,2019,01-14,Total,Total,9
26,2019-07-05,2019,01-14,Total,Total,17
27,2019-07-12,2019,01-14,Total,Total,7
28,2019-07-19,2019,01-14,Total,Total,10
29,2019-07-26,2019,01-14,Total,Total,7
30,2019-08-02,2019,01-14,Total,Total,6
31,2019-08-09,2019,01-14,Total,Total,9
32,2019-08-16,2019,01-14,Total,Total,13
33,2019-08-23,2019,01-14,Total,Total,4
34,2019-08-30,2019,01-14,Total,Total,10
